Dataset,Attack,Model,Metric,Value
adult,deepfool,lr,eval_L1,1.4389104
adult,deepfool,lr,eval_L2,0.63551676
adult,deepfool,lr,eval_Linf,0.41891786
adult,deepfool,lr,eval_Sen,2.392331
adult,deepfool,lr,eval_Mahalanobis,0.12744354
adult,deepfool,lr,eval_Sparsity,3.9497216
adult,deepfool,lr,eval_Neighbour_Distance,0.5443894
adult,deepfool,svc,eval_L1,0.13907464
adult,deepfool,svc,eval_L2,0.11081838
adult,deepfool,svc,eval_Linf,0.10863635
adult,deepfool,svc,eval_Sen,0.42518383
adult,deepfool,svc,eval_Mahalanobis,0.008880699
adult,deepfool,svc,eval_Sparsity,3.6946163
adult,deepfool,svc,eval_Neighbour_Distance,0.09890491
adult,deepfool,nn_2,eval_L1,3.1592584
adult,deepfool,nn_2,eval_L2,0.9627499
adult,deepfool,nn_2,eval_Linf,0.4153762
adult,deepfool,nn_2,eval_Sen,2.6746073
adult,deepfool,nn_2,eval_Mahalanobis,0.2860526
adult,deepfool,nn_2,eval_Sparsity,4.7433476
adult,deepfool,nn_2,eval_Neighbour_Distance,0.76768464
adult,carlini_l_2,lr,eval_L1,0.7873866
adult,carlini_l_2,lr,eval_L2,0.52172846
adult,carlini_l_2,lr,eval_Linf,0.40812445
adult,carlini_l_2,lr,eval_Sen,1.5779712
adult,carlini_l_2,lr,eval_Mahalanobis,0.077267535
adult,carlini_l_2,lr,eval_Sparsity,3.714573
adult,carlini_l_2,lr,eval_Neighbour_Distance,0.41902027
adult,carlini_l_2,svc,eval_L1,0.0007928289
adult,carlini_l_2,svc,eval_L2,0.00056955445
adult,carlini_l_2,svc,eval_Linf,0.00049676135
adult,carlini_l_2,svc,eval_Sen,0.0016232759
adult,carlini_l_2,svc,eval_Mahalanobis,7.569777e-05
adult,carlini_l_2,svc,eval_Sparsity,2.0699258
adult,carlini_l_2,svc,eval_Neighbour_Distance,0.0005464415
adult,carlini_l_2,nn_2,eval_L1,0.26091653
adult,carlini_l_2,nn_2,eval_L2,0.18662505
adult,carlini_l_2,nn_2,eval_Linf,0.15695591
adult,carlini_l_2,nn_2,eval_Sen,0.4857093
adult,carlini_l_2,nn_2,eval_Mahalanobis,0.027682565
adult,carlini_l_2,nn_2,eval_Sparsity,3.094833
adult,carlini_l_2,nn_2,eval_Neighbour_Distance,0.12365116
adult,carlini_l_inf,lr,eval_L1,0.0029566756
adult,carlini_l_inf,lr,eval_L2,0.0020187327
adult,carlini_l_inf,lr,eval_Linf,0.0014915451
adult,carlini_l_inf,lr,eval_Sen,0.0052281157
adult,carlini_l_inf,lr,eval_Mahalanobis,0.00031964606
adult,carlini_l_inf,lr,eval_Sparsity,2.1297958
adult,carlini_l_inf,lr,eval_Neighbour_Distance,0.0016065736
adult,carlini_l_inf,svc,eval_L1,0.00310379
adult,carlini_l_inf,svc,eval_L2,0.0021182252
adult,carlini_l_inf,svc,eval_Linf,0.0015732255
adult,carlini_l_inf,svc,eval_Sen,0.005495881
adult,carlini_l_inf,svc,eval_Mahalanobis,0.00033469422
adult,carlini_l_inf,svc,eval_Sparsity,2.1288676
adult,carlini_l_inf,svc,eval_Neighbour_Distance,0.0017179869
adult,carlini_l_inf,nn_2,eval_L1,0.0033092157
adult,carlini_l_inf,nn_2,eval_L2,0.0022599036
adult,carlini_l_inf,nn_2,eval_Linf,0.0016844533
adult,carlini_l_inf,nn_2,eval_Sen,0.0058623045
adult,carlini_l_inf,nn_2,eval_Mahalanobis,0.0003511042
adult,carlini_l_inf,nn_2,eval_Sparsity,2.1396968
adult,carlini_l_inf,nn_2,eval_Neighbour_Distance,0.0017854286
adult,fgsm_l_1,lr,eval_L1,0.07617629
adult,fgsm_l_1,lr,eval_L2,0.055388868
adult,fgsm_l_1,lr,eval_Linf,0.053505085
adult,fgsm_l_1,lr,eval_Sen,0.22524416
adult,fgsm_l_1,lr,eval_Mahalanobis,0.0046209223
adult,fgsm_l_1,lr,eval_Sparsity,3.6779084
adult,fgsm_l_1,lr,eval_Neighbour_Distance,0.05115085
adult,fgsm_l_1,svc,eval_L1,0.08255226
adult,fgsm_l_1,svc,eval_L2,0.06605575
adult,fgsm_l_1,svc,eval_Linf,0.0650563
adult,fgsm_l_1,svc,eval_Sen,0.25504714
adult,fgsm_l_1,svc,eval_Mahalanobis,0.0051965346
adult,fgsm_l_1,svc,eval_Sparsity,3.6946163
adult,fgsm_l_1,svc,eval_Neighbour_Distance,0.05998584
adult,fgsm_l_1,nn_2,eval_L1,0.054810453
adult,fgsm_l_1,nn_2,eval_L2,0.040796157
adult,fgsm_l_1,nn_2,eval_Linf,0.039327253
adult,fgsm_l_1,nn_2,eval_Sen,0.16042376
adult,fgsm_l_1,nn_2,eval_Mahalanobis,0.0035629089
adult,fgsm_l_1,nn_2,eval_Sparsity,3.689047
adult,fgsm_l_1,nn_2,eval_Neighbour_Distance,0.03730774
adult,fgsm_l_2,lr,eval_L1,0.3261324
adult,fgsm_l_2,lr,eval_L2,0.23574282
adult,fgsm_l_2,lr,eval_Linf,0.22708584
adult,fgsm_l_2,lr,eval_Sen,0.96137315
adult,fgsm_l_2,lr,eval_Mahalanobis,0.01978157
adult,fgsm_l_2,lr,eval_Sparsity,3.6779084
adult,fgsm_l_2,lr,eval_Neighbour_Distance,0.21175884
adult,fgsm_l_2,svc,eval_L1,0.29766008
adult,fgsm_l_2,svc,eval_L2,0.23692364
adult,fgsm_l_2,svc,eval_Linf,0.23298246
adult,fgsm_l_2,svc,eval_Sen,0.9174043
adult,fgsm_l_2,svc,eval_Mahalanobis,0.018706512
adult,fgsm_l_2,svc,eval_Sparsity,3.6946163
adult,fgsm_l_2,svc,eval_Neighbour_Distance,0.2145429
adult,fgsm_l_2,nn_2,eval_L1,0.2768733
adult,fgsm_l_2,nn_2,eval_L2,0.20302583
adult,fgsm_l_2,nn_2,eval_Linf,0.19477977
adult,fgsm_l_2,nn_2,eval_Sen,0.8037797
adult,fgsm_l_2,nn_2,eval_Mahalanobis,0.018019846
adult,fgsm_l_2,nn_2,eval_Sparsity,3.689047
adult,fgsm_l_2,nn_2,eval_Neighbour_Distance,0.17884845
adult,fgsm_l_inf,lr,eval_L1,1.08636
adult,fgsm_l_inf,lr,eval_L2,0.5644199
adult,fgsm_l_inf,lr,eval_Linf,0.2999981
adult,fgsm_l_inf,lr,eval_Sen,2.4898486
adult,fgsm_l_inf,lr,eval_Mahalanobis,0.07874123
adult,fgsm_l_inf,lr,eval_Sparsity,3.6779084
adult,fgsm_l_inf,lr,eval_Neighbour_Distance,0.4559946
adult,fgsm_l_inf,svc,eval_L1,1.0903648
adult,fgsm_l_inf,svc,eval_L2,0.5655635
adult,fgsm_l_inf,svc,eval_Linf,0.29999876
adult,fgsm_l_inf,svc,eval_Sen,2.5019662
adult,fgsm_l_inf,svc,eval_Mahalanobis,0.07882626
adult,fgsm_l_inf,svc,eval_Sparsity,3.6946163
adult,fgsm_l_inf,svc,eval_Neighbour_Distance,0.45711246
adult,fgsm_l_inf,nn_2,eval_L1,1.0906757
adult,fgsm_l_inf,nn_2,eval_L2,0.5661585
adult,fgsm_l_inf,nn_2,eval_Linf,0.29994562
adult,fgsm_l_inf,nn_2,eval_Sen,2.4998002
adult,fgsm_l_inf,nn_2,eval_Mahalanobis,0.07785036
adult,fgsm_l_inf,nn_2,eval_Sparsity,3.689047
adult,fgsm_l_inf,nn_2,eval_Neighbour_Distance,0.45114407
adult,bim,lr,eval_L1,1.08636
adult,bim,lr,eval_L2,0.5644199
adult,bim,lr,eval_Linf,0.2999981
adult,bim,lr,eval_Sen,2.4898486
adult,bim,lr,eval_Mahalanobis,0.07874123
adult,bim,lr,eval_Sparsity,3.6779084
adult,bim,lr,eval_Neighbour_Distance,0.4559946
adult,bim,svc,eval_L1,1.0903648
adult,bim,svc,eval_L2,0.5655635
adult,bim,svc,eval_Linf,0.29999876
adult,bim,svc,eval_Sen,2.5019662
adult,bim,svc,eval_Mahalanobis,0.07882626
adult,bim,svc,eval_Sparsity,3.6946163
adult,bim,svc,eval_Neighbour_Distance,0.45711246
adult,bim,nn_2,eval_L1,0.89573085
adult,bim,nn_2,eval_L2,0.495635
adult,bim,nn_2,eval_Linf,0.2996745
adult,bim,nn_2,eval_Sen,2.1590507
adult,bim,nn_2,eval_Mahalanobis,0.06329209
adult,bim,nn_2,eval_Sparsity,3.6700187
adult,bim,nn_2,eval_Neighbour_Distance,0.40361044
adult,mim,lr,eval_L1,1.08636
adult,mim,lr,eval_L2,0.5644199
adult,mim,lr,eval_Linf,0.2999981
