Dataset,Attack,Model,Metric,Value
adult,deepfool,lr,groundtruth_attack_success,0.8268873762376238
adult,deepfool,lr,pred_attack_success,0.8965037128712872
adult,deepfool,lr,original_accuracy,0.8524133663366337
adult,deepfool,lr,robust_accuracy,0.17311262376237624
adult,deepfool,svc,groundtruth_attack_success,0.8531868811881188
adult,deepfool,svc,pred_attack_success,1.0
adult,deepfool,svc,original_accuracy,0.8531868811881188
adult,deepfool,svc,robust_accuracy,0.1468131188118812
adult,deepfool,nn_2,groundtruth_attack_success,0.8451423267326733
adult,deepfool,nn_2,pred_attack_success,0.9565284653465347
adult,deepfool,nn_2,original_accuracy,0.8521039603960396
adult,deepfool,nn_2,robust_accuracy,0.15485767326732675
adult,carlini_l_2,lr,groundtruth_attack_success,0.6986386138613861
adult,carlini_l_2,lr,pred_attack_success,0.84375
adult,carlini_l_2,lr,original_accuracy,0.8524133663366337
adult,carlini_l_2,lr,robust_accuracy,0.30136138613861385
adult,carlini_l_2,svc,groundtruth_attack_success,0.14758663366336633
adult,carlini_l_2,svc,pred_attack_success,0.026763613861386138
adult,carlini_l_2,svc,original_accuracy,0.8531868811881188
adult,carlini_l_2,svc,robust_accuracy,0.8524133663366337
adult,carlini_l_2,nn_2,groundtruth_attack_success,0.45188737623762376
adult,carlini_l_2,nn_2,pred_attack_success,0.5527537128712872
adult,carlini_l_2,nn_2,original_accuracy,0.8521039603960396
adult,carlini_l_2,nn_2,robust_accuracy,0.5481126237623762
adult,carlini_l_inf,lr,groundtruth_attack_success,0.15547648514851486
adult,carlini_l_inf,lr,pred_attack_success,0.0567759900990099
adult,carlini_l_inf,lr,original_accuracy,0.8524133663366337
adult,carlini_l_inf,lr,robust_accuracy,0.8445235148514851
adult,carlini_l_inf,svc,groundtruth_attack_success,0.15439356435643564
adult,carlini_l_inf,svc,pred_attack_success,0.05708539603960396
adult,carlini_l_inf,svc,original_accuracy,0.8531868811881188
adult,carlini_l_inf,svc,robust_accuracy,0.8456064356435643
adult,carlini_l_inf,nn_2,groundtruth_attack_success,0.15563118811881188
adult,carlini_l_inf,nn_2,pred_attack_success,0.0625
adult,carlini_l_inf,nn_2,original_accuracy,0.8521039603960396
adult,carlini_l_inf,nn_2,robust_accuracy,0.8443688118811881
adult,fgsm_l_1,lr,groundtruth_attack_success,0.2119430693069307
adult,fgsm_l_1,lr,pred_attack_success,0.2079207920792079
adult,fgsm_l_1,lr,original_accuracy,0.8524133663366337
adult,fgsm_l_1,lr,robust_accuracy,0.7880569306930693
adult,fgsm_l_1,svc,groundtruth_attack_success,0.31404702970297027
adult,fgsm_l_1,svc,pred_attack_success,0.38041460396039606
adult,fgsm_l_1,svc,original_accuracy,0.8531868811881188
adult,fgsm_l_1,svc,robust_accuracy,0.6859529702970297
adult,fgsm_l_1,nn_2,groundtruth_attack_success,0.24969059405940594
adult,fgsm_l_1,nn_2,pred_attack_success,0.2868193069306931
adult,fgsm_l_1,nn_2,original_accuracy,0.8521039603960396
adult,fgsm_l_1,nn_2,robust_accuracy,0.750309405940594
adult,fgsm_l_2,lr,groundtruth_attack_success,0.676825495049505
adult,fgsm_l_2,lr,pred_attack_success,0.7928527227722773
adult,fgsm_l_2,lr,original_accuracy,0.8524133663366337
adult,fgsm_l_2,lr,robust_accuracy,0.32317450495049505
adult,fgsm_l_2,svc,groundtruth_attack_success,0.8087871287128713
adult,fgsm_l_2,svc,pred_attack_success,0.9410581683168316
adult,fgsm_l_2,svc,original_accuracy,0.8531868811881188
adult,fgsm_l_2,svc,robust_accuracy,0.19121287128712872
adult,fgsm_l_2,nn_2,groundtruth_attack_success,0.7391707920792079
adult,fgsm_l_2,nn_2,pred_attack_success,0.879950495049505
adult,fgsm_l_2,nn_2,original_accuracy,0.8521039603960396
adult,fgsm_l_2,nn_2,robust_accuracy,0.26082920792079206
adult,fgsm_l_inf,lr,groundtruth_attack_success,0.8494740099009901
adult,fgsm_l_inf,lr,pred_attack_success,0.9970606435643564
adult,fgsm_l_inf,lr,original_accuracy,0.8524133663366337
adult,fgsm_l_inf,lr,robust_accuracy,0.1505259900990099
adult,fgsm_l_inf,svc,groundtruth_attack_success,0.8474628712871287
adult,fgsm_l_inf,svc,pred_attack_success,0.9942759900990099
adult,fgsm_l_inf,svc,original_accuracy,0.8531868811881188
adult,fgsm_l_inf,svc,robust_accuracy,0.15253712871287128
adult,fgsm_l_inf,nn_2,groundtruth_attack_success,0.8465346534653465
adult,fgsm_l_inf,nn_2,pred_attack_success,0.9916460396039604
adult,fgsm_l_inf,nn_2,original_accuracy,0.8521039603960396
adult,fgsm_l_inf,nn_2,robust_accuracy,0.15346534653465346
