Dataset,Attack,Model,eval_L1,eval_L2,eval_Linf,eval_Sen,eval_Mahalanobis,eval_Sparsity,eval_Neighbour_Distance
adult,deepfool,lr,1.4389104,0.63551676,0.41891786,2.392331,0.12744354,3.9497216,0.5443894
adult,carlini_l_2,lr,0.7873866,0.52172846,0.40812445,1.5779712,0.077267535,3.714573,0.41902027
adult,carlini_l_inf,lr,0.0029566756,0.0020187327,0.0014915451,0.0052281157,0.00031964606,2.1297958,0.0016065736
adult,fgsm_l_1,lr,0.07617629,0.055388868,0.053505085,0.22524416,0.0046209223,3.6779084,0.05115085
adult,fgsm_l_2,lr,0.3261324,0.23574282,0.22708584,0.96137315,0.01978157,3.6779084,0.21175884
adult,fgsm_l_inf,lr,1.08636,0.5644199,0.2999981,2.4898486,0.07874123,3.6779084,0.4559946
adult,bim,lr,1.08636,0.5644199,0.2999981,2.4898486,0.07874123,3.6779084,0.4559946
adult,mim,lr,1.08636,0.5644199,0.2999981,2.4898486,0.07874123,3.6779084,0.4559946
adult,pgd_l_1,lr,0.12671357,0.091844305,0.08855361,0.37320557,0.0077176727,3.6779084,0.08335003
adult,pgd_l_2,lr,0.36579475,0.26317754,0.25099665,1.0493095,0.023231711,3.6779084,0.23071475
adult,pgd_l_inf,lr,1.08636,0.5644199,0.2999981,2.4898486,0.07874123,3.6779084,0.4559946
adult,deepfool,svc,0.13907464,0.11081838,0.10863635,0.42518383,0.008880699,3.6946163,0.09890491
adult,carlini_l_2,svc,0.0007928289,0.00056955445,0.00049676135,0.0016232759,7.569777e-05,2.0699258,0.0005464415
adult,carlini_l_inf,svc,0.00310379,0.0021182252,0.0015732255,0.005495881,0.00033469422,2.1288676,0.0017179869
adult,fgsm_l_1,svc,0.08255226,0.06605575,0.0650563,0.25504714,0.0051965346,3.6946163,0.05998584
adult,fgsm_l_2,svc,0.29766008,0.23692364,0.23298246,0.9174043,0.018706512,3.6946163,0.2145429
adult,fgsm_l_inf,svc,1.0903648,0.5655635,0.29999876,2.5019662,0.07882626,3.6946163,0.45711246
adult,bim,svc,1.0903648,0.5655635,0.29999876,2.5019662,0.07882626,3.6946163,0.45711246
adult,mim,svc,1.0903648,0.5655635,0.29999876,2.5019662,0.07882626,3.6946163,0.45711246
adult,pgd_l_1,svc,0.14022201,0.11178553,0.10996303,0.43192893,0.00883616,3.6946163,0.10087285
adult,pgd_l_2,svc,0.32955948,0.2598012,0.2532611,0.9945596,0.0213117,3.6946163,0.23205078
adult,pgd_l_inf,svc,1.0903648,0.5655635,0.29999876,2.5019662,0.07882626,3.6946163,0.45711246
adult,deepfool,nn_2,3.1592584,0.9627499,0.4153762,2.6746073,0.2860526,4.7433476,0.76768464
adult,carlini_l_2,nn_2,0.26091653,0.18662505,0.15695591,0.4857093,0.027682565,3.094833,0.12365116
adult,carlini_l_inf,nn_2,0.0033092157,0.0022599036,0.0016844533,0.0058623045,0.0003511042,2.1396968,0.0017854286
adult,fgsm_l_1,nn_2,0.054810453,0.040796157,0.039327253,0.16042376,0.0035629089,3.689047,0.03730774
adult,fgsm_l_2,nn_2,0.2768733,0.20302583,0.19477977,0.8037797,0.018019846,3.689047,0.17884845
adult,fgsm_l_inf,nn_2,1.0906757,0.5661585,0.29994562,2.4998002,0.07785036,3.689047,0.45114407
adult,bim,nn_2,0.89573085,0.495635,0.2996745,2.1590507,0.06329209,3.6700187,0.40361044
adult,mim,nn_2,1.0914582,0.566316,0.29995835,2.5018816,0.07863697,3.6919863,0.45481202
adult,pgd_l_1,nn_2,0.14258574,0.10498676,0.100991584,0.41618642,0.0092167435,3.690594,0.0930279
adult,pgd_l_2,nn_2,0.33953688,0.25329947,0.24366003,0.98788166,0.02247444,3.6944616,0.22420721
adult,pgd_l_inf,nn_2,1.0914582,0.566316,0.29995835,2.5018816,0.07863697,3.6919863,0.45481202
german,deepfool,lr,1.5837059,0.64351577,0.3363958,0.9764591,0.21088015,4.6458335,0.6188155
german,carlini_l_2,lr,1.1802146,0.62341446,0.4146475,1.0668235,0.15397355,5.0104165,0.62111586
german,carlini_l_inf,lr,0.00439962,0.0023107084,0.0014266171,0.0042245258,0.0005751122,3.7552083,0.0023107084
german,fgsm_l_1,lr,0.061705414,0.03267069,0.020485578,0.06627907,0.006980197,4.3072915,0.03267069
german,fgsm_l_2,lr,0.3587629,0.19073972,0.12063538,0.38452315,0.040903468,4.3072915,0.19073972
german,fgsm_l_inf,lr,1.1881629,0.5837363,0.3,1.1172009,0.1519429,4.3072915,0.5829907
german,bim,lr,1.1881629,0.5837363,0.3,1.1172009,0.1519429,4.3072915,0.5829907
german,mim,lr,1.1881629,0.5837363,0.3,1.1172009,0.1519429,4.3072915,0.5829907
german,pgd_l_1,lr,0.0988293,0.05249065,0.033006676,0.10630139,0.011214927,4.3072915,0.05249065
german,pgd_l_2,lr,0.41972438,0.22451112,0.1438643,0.4493788,0.048359476,4.3072915,0.22451112
german,pgd_l_inf,lr,1.1881629,0.5837363,0.3,1.1172009,0.1519429,4.3072915,0.5829907
german,deepfool,svc,0.7559606,0.41281167,0.30266467,0.81874377,0.08593403,4.3125,0.41281167
german,carlini_l_2,svc,0.00019500802,0.00010318252,6.701346e-05,0.00019179904,2.3209679e-05,3.6927083,0.00010318252
german,carlini_l_inf,svc,0.003128921,0.0016390609,0.0010259587,0.0029954142,0.00041407844,3.75,0.0016390609
german,fgsm_l_1,svc,0.063487,0.034223188,0.024348233,0.06884271,0.0070569417,4.3125,0.034223188
german,fgsm_l_2,svc,0.35618564,0.19256762,0.13688737,0.3851802,0.03993761,4.3125,0.19256762
german,fgsm_l_inf,svc,1.1893864,0.5839727,0.3,1.1177655,0.15205401,4.3125,0.5832271
german,bim,svc,1.1893864,0.5839727,0.3,1.1177655,0.15205401,4.3125,0.5832271
german,mim,svc,1.1893864,0.5839727,0.3,1.1177655,0.15205401,4.3125,0.5832271
german,pgd_l_1,svc,0.10651353,0.057658892,0.041105825,0.11576142,0.011891234,4.3125,0.057658892
german,pgd_l_2,svc,0.42412132,0.23069826,0.16528371,0.4582389,0.04809371,4.3125,0.23069826
german,pgd_l_inf,svc,1.1893864,0.5839727,0.3,1.1177655,0.15205401,4.3125,0.5832271
german,deepfool,nn_2,4.0821905,1.1268703,0.41695893,1.0907806,0.472154,6.0,1.0040445
german,carlini_l_2,nn_2,0.7037491,0.43960902,0.3568764,0.6896135,0.099910475,4.734375,0.4392946
german,carlini_l_inf,nn_2,0.0025874488,0.0014034258,0.00089002907,0.0025373406,0.00034843627,3.7447917,0.0014034258
german,fgsm_l_1,nn_2,0.037639942,0.021122005,0.015738297,0.039186697,0.0046141506,4.421875,0.021122005
german,fgsm_l_2,nn_2,0.23543872,0.13225272,0.09907756,0.24493423,0.028930996,4.421875,0.13225272
german,fgsm_l_inf,nn_2,1.2242166,0.593219,0.3,1.1396774,0.16544357,4.421875,0.5928398
german,bim,nn_2,1.0331749,0.53006756,0.29944855,0.96662277,0.14152347,4.21875,0.5296625
german,mim,nn_2,1.1868799,0.58257747,0.3,1.1130184,0.15947743,4.328125,0.5821575
german,pgd_l_1,nn_2,0.07080634,0.03980348,0.029645089,0.07387872,0.008681368,4.4166665,0.03980348
german,pgd_l_2,nn_2,0.30880868,0.17441858,0.13171051,0.32196635,0.038091686,4.40625,0.17441858
german,pgd_l_inf,nn_2,1.1868799,0.58257747,0.3,1.1130184,0.15947743,4.328125,0.5821575
compas,deepfool,lr,0.68748766,0.41082522,0.32571372,1.6436429,0.051259123,3.9382102,0.2678909
compas,carlini_l_2,lr,0.3211305,0.24258478,0.21469924,0.76018816,0.026964251,3.8039773,0.13915186
compas,carlini_l_inf,lr,0.0033196881,0.0021325103,0.0015976062,0.0071811588,0.00026652237,3.2201705,0.0017599171
compas,fgsm_l_1,lr,0.2115874,0.12859364,0.10319293,0.48304865,0.015980503,3.931108,0.061938893
compas,fgsm_l_2,lr,0.44954574,0.27734384,0.22713411,1.0340856,0.034468856,3.931108,0.13216576
compas,fgsm_l_inf,lr,0.99532634,0.52885723,0.3,2.8214953,0.05759398,3.931108,0.33565882
compas,bim,lr,0.99532634,0.52885723,0.3,2.8214953,0.05759398,3.931108,0.33565882
compas,mim,lr,0.99532634,0.52885723,0.3,2.8214953,0.05759398,3.931108,0.33565882
compas,pgd_l_1,lr,0.24696933,0.15240876,0.12426074,0.563771,0.019005919,3.931108,0.07271874
compas,pgd_l_2,lr,0.4696156,0.2961336,0.24781744,1.0833993,0.03708051,3.931108,0.14397447
compas,pgd_l_inf,lr,0.99532634,0.52885723,0.3,2.8214953,0.05759398,3.931108,0.33565882
compas,deepfool,svc,0.39096084,0.23598038,0.18330482,0.909014,0.029037522,3.9360795,0.11780957
compas,carlini_l_2,svc,0.002432896,0.0017435866,0.001467236,0.004693577,0.00021983849,3.200284,0.0013410634
compas,carlini_l_inf,svc,0.0033067798,0.0021441942,0.001608149,0.0070762923,0.0002667058,3.2130682,0.0016506285
compas,fgsm_l_1,svc,0.21562104,0.13011426,0.10063559,0.49893647,0.016042344,3.9360795,0.06420996
compas,fgsm_l_2,svc,0.45337057,0.2778569,0.2199475,1.0580121,0.034209345,3.9360795,0.13587824
compas,fgsm_l_inf,svc,1.0022892,0.5313505,0.3,2.848533,0.05767623,3.9360795,0.33547705
compas,bim,svc,1.0022892,0.5313505,0.3,2.848533,0.05767623,3.9360795,0.33547705
compas,mim,svc,1.0022892,0.5313505,0.3,2.848533,0.05767623,3.9360795,0.33547705
compas,pgd_l_1,svc,0.25072634,0.15355675,0.120823674,0.58045685,0.018973425,3.9360795,0.07466819
compas,pgd_l_2,svc,0.47331488,0.2962685,0.24030782,1.109783,0.036670804,3.9360795,0.1465681
compas,pgd_l_inf,svc,1.0022892,0.5313505,0.3,2.848533,0.05767623,3.9360795,0.33547705
compas,deepfool,nn_2,0.86616033,0.4636512,0.3198493,1.8901907,0.08558772,3.9928977,0.2946748
compas,carlini_l_2,nn_2,0.32971326,0.24592008,0.21366097,0.78026485,0.027705593,3.8110795,0.14605525
compas,carlini_l_inf,nn_2,0.0031132582,0.002012208,0.0014994275,0.0065284544,0.00025447964,3.2102273,0.0016793925
compas,fgsm_l_1,nn_2,0.1670678,0.099016756,0.07609066,0.40957385,0.011838412,3.9197443,0.05225954
compas,fgsm_l_2,nn_2,0.44372314,0.26678512,0.20773004,1.0938725,0.031899884,3.9197443,0.13306423
compas,fgsm_l_inf,nn_2,0.9590501,0.51871276,0.3,2.6871328,0.056784157,3.9197443,0.32471547
compas,bim,nn_2,0.814138,0.47171578,0.3,2.1566584,0.05363741,3.8401988,0.2873993
compas,mim,nn_2,0.9337061,0.51094896,0.3,2.5943568,0.05626136,3.9005682,0.31823745
compas,pgd_l_1,nn_2,0.20961238,0.12625438,0.098206304,0.5072492,0.015208136,3.919034,0.06308732
compas,pgd_l_2,nn_2,0.46589983,0.28705117,0.22857621,1.1318507,0.03486517,3.9133523,0.14350191
compas,pgd_l_inf,nn_2,0.9337061,0.51094896,0.3,2.5943568,0.05626136,3.9005682,0.31823745
diabetes,deepfool,lr,0.5726649,0.27191386,0.19375816,0.47797757,0.050007753,7.4375,0.16966322
diabetes,carlini_l_2,lr,0.34291714,0.19415785,0.14909571,0.2931349,0.032636218,8.0,0.14510623
diabetes,carlini_l_inf,lr,0.031938747,0.012913385,0.006052626,0.026065657,0.0022010026,6.9609375,0.012913385
diabetes,lowprofool_l_2,lr,1.6105348,0.75451,0.5227817,1.3518597,0.13648891,7.4375,0.44294727
diabetes,lowprofool_l_inf,lr,1.6170864,0.74866843,0.5067227,1.3581611,0.1354101,7.4375,0.4406137
diabetes,fgsm_l_1,lr,0.29510438,0.14210387,0.10411862,0.24675383,0.025828514,7.4375,0.13305959
diabetes,fgsm_l_2,lr,0.62021154,0.2987955,0.21895398,0.51870644,0.0542715,7.4375,0.21401392
diabetes,fgsm_l_inf,lr,2.103657,0.7841688,0.3,1.6909574,0.13749586,7.4375,0.49235752
diabetes,bim,lr,2.103657,0.7841688,0.3,1.6909574,0.13749586,7.4375,0.49235752
diabetes,mim,lr,2.103657,0.7841688,0.3,1.6909574,0.13749586,7.4375,0.49235752
diabetes,pgd_l_1,lr,0.29999992,0.14454839,0.10585488,0.25089315,0.026265405,7.4375,0.13497353
diabetes,pgd_l_2,lr,0.623246,0.29999992,0.21911381,0.52152425,0.054427102,7.4375,0.21447718
diabetes,pgd_l_inf,lr,2.103657,0.7841688,0.3,1.6909574,0.13749586,7.4375,0.49235752
diabetes,deepfool,svc,0.48181152,0.23050341,0.15919764,0.4114123,0.038427193,7.4609375,0.17384747
diabetes,carlini_l_2,svc,0.016780213,0.009107166,0.0066140825,0.014676655,0.0014483576,6.84375,0.009107166
diabetes,carlini_l_inf,svc,0.045511927,0.017758042,0.008001322,0.037199557,0.0029300451,6.9296875,0.017758042
diabetes,lowprofool_l_2,svc,1.3734782,0.65565383,0.45477158,1.1750696,0.108141795,7.4609375,0.39500102
diabetes,lowprofool_l_inf,svc,1.3734782,0.65565383,0.45477158,1.1750696,0.108141795,7.4609375,0.39500102
diabetes,fgsm_l_1,svc,0.2918671,0.13896745,0.09588042,0.24925932,0.02306861,7.4609375,0.13063735
