,scaled_input_duration_in_month,scaled_input_credit_amount,scaled_input_installment_as_income_perc,scaled_input_present_res_since,scaled_input_age,scaled_input_account_check_status,scaled_input_credit_history,scaled_input_purpose,scaled_input_savings,scaled_input_present_emp_since,scaled_input_personal_status_sex,scaled_input_other_debtors,scaled_input_property,scaled_input_other_installment_plans,scaled_input_housing,scaled_input_credits_this_bank,scaled_input_job,scaled_input_people_under_maintenance,scaled_input_telephone,scaled_input_foreign_worker,scaled_input_default,origin_input_duration_in_month,origin_input_credit_amount,origin_input_installment_as_income_perc,origin_input_present_res_since,origin_input_age,origin_input_account_check_status,origin_input_credit_history,origin_input_purpose,origin_input_savings,origin_input_present_emp_since,origin_input_personal_status_sex,origin_input_other_debtors,origin_input_property,origin_input_other_installment_plans,origin_input_housing,origin_input_credits_this_bank,origin_input_job,origin_input_people_under_maintenance,origin_input_telephone,origin_input_foreign_worker,origin_input_default,scaled_adv_duration_in_month,scaled_adv_credit_amount,scaled_adv_installment_as_income_perc,scaled_adv_present_res_since,scaled_adv_age,scaled_adv_account_check_status,scaled_adv_credit_history,scaled_adv_purpose,scaled_adv_savings,scaled_adv_present_emp_since,scaled_adv_personal_status_sex,scaled_adv_other_debtors,scaled_adv_property,scaled_adv_other_installment_plans,scaled_adv_housing,scaled_adv_credits_this_bank,scaled_adv_job,scaled_adv_people_under_maintenance,scaled_adv_telephone,scaled_adv_foreign_worker,origin_adv_duration_in_month,origin_adv_credit_amount,origin_adv_installment_as_income_perc,origin_adv_present_res_since,origin_adv_age,origin_adv_account_check_status,origin_adv_credit_history,origin_adv_purpose,origin_adv_savings,origin_adv_present_emp_since,origin_adv_personal_status_sex,origin_adv_other_debtors,origin_adv_property,origin_adv_other_installment_plans,origin_adv_housing,origin_adv_credits_this_bank,origin_adv_job,origin_adv_people_under_maintenance,origin_adv_telephone,origin_adv_foreign_worker,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.20588235294117646,0.16176956091119182,0.3333333333333333,0.3333333333333333,0.0892857142857143,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,N,18.0,3190.0,2.0,2.0,24.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,N,0.23317587,0.22088769,0.35463646,0.33775547,0.0638605,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,19.855959,4264.413,2.0639095,2.0132666,22.576187,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,female : divorced/separated/married,none,real estate,none,own,1,skilled employee / official,1,none,yes,129.68634271621704,N,N,Y,N,Y
0,0.20588235294117646,0.2272477165181028,0.6666666666666667,1.0,0.28571428571428575,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,Y,18.0,4380.0,3.0,4.0,35.0,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,Y,0.18696399,0.19193493,0.6530671,0.99517596,0.30819514,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,16.71355,3738.2253,2.9592013,3.985528,36.258926,< 0 DM,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,1,unskilled - resident,2,"yes, registered under the customers name ",yes,129.68634271621704,N,N,N,Y,N
0,0.2941176470588235,0.11417409486079015,0.3333333333333333,0.6666666666666667,0.23214285714285715,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,Y,23.999999999999996,2325.0000000000005,2.0,3.0,32.0,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,Y,0.2218852,0.0035377685,0.2833332,0.67182684,0.3021876,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,19.088194,314.2954,1.8499997,3.0154805,35.922504,< 0 DM,all credits at this bank paid back duly,car (new),100 <= ... < 500 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",bank,own,1,skilled employee / official,1,none,yes,129.68634271621704,N,N,N,Y,N
0,0.1176470588235294,0.05760977220204688,0.6666666666666667,1.0,0.07142857142857145,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,N,11.999999999999998,1297.0,3.0,4.0,23.0,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,N,0.2077307,0.20139396,0.7266809,0.9999937,7.802962e-07,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,18.125689,3910.1338,3.1800427,3.9999812,19.000044,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,none,real estate,none,rent,1,skilled employee / official,1,none,yes,129.68634271621704,Y,Y,N,N,Y
0,0.4264705882352941,0.385330692197645,0.6666666666666667,0.3333333333333333,0.28571428571428575,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,N,33.0,7253.0,3.0,2.0,35.0,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,N,0.6689778,0.7620442,0.823365,0.34562823,0.028809631,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,49.49049,14099.392,3.4700952,2.0368848,20.613338,no checking account,critical account/ other credits existing (not at this bank),car (used),... < 100 DM,4 <= ... < 7 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,129.68634271621704,Y,Y,N,N,Y
0,0.2941176470588235,0.11742049081104876,1.0,1.0,0.8035714285714286,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,N,23.999999999999996,2384.0,4.0,4.0,64.0,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,N,0.3322264,0.17028862,1.0,0.99201876,0.7680364,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,26.591394,3344.8254,4.0,3.976056,62.010036,< 0 DM,existing credits paid back duly till now,domestic appliances,... < 100 DM,.. >= 7 years,male : single,none,real estate,bank,rent,1,unskilled - resident,1,none,yes,129.68634271621704,Y,Y,N,N,Y
0,0.029411764705882346,0.10267414988445031,0.3333333333333333,0.3333333333333333,0.39285714285714285,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,5.999999999999999,2116.0,2.0,2.0,41.0,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,N,0.31166223,0.50210416,0.5063443,0.42444515,0.046254836,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,25.193031,9375.241,2.519033,2.2733355,21.590271,>= 200 DM / salary assignments for at least 1 year,existing credits paid back duly till now,radio/television,... < 100 DM,1 <= ... < 4 years,male : single,none,real estate,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,129.68634271621704,Y,Y,N,N,Y
0,0.1176470588235294,0.018432926158248045,1.0,1.0,0.01785714285714285,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,Y,11.999999999999998,585.0,4.0,4.0,20.0,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,Y,0.10964277,0.007886412,0.9958391,0.9999208,0.024373775,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,11.4557085,393.32767,3.9875174,3.9997623,20.364933,0 <= ... < 200 DM,delay in paying off in the past,domestic appliances,... < 100 DM,1 <= ... < 4 years,male : married/widowed,co-applicant,real estate,none,rent,2,skilled employee / official,1,none,yes,129.68634271621704,N,N,N,Y,N
0,0.07352941176470588,0.18306371739848135,0.0,0.3333333333333333,0.125,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,N,9.0,3576.9999999999995,1.0,2.0,26.0,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,N,0.42636815,0.62880844,0.19735669,0.37620538,3.5805047e-07,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,32.993034,11677.965,1.5920701,2.128616,19.00002,no checking account,existing credits paid back duly till now,car (new),100 <= ... < 500 DM,1 <= ... < 4 years,male : single,guarantor,real estate,none,rent,1,skilled employee / official,2,none,no,129.68634271621704,Y,Y,N,N,Y
0,0.338235294117647,0.46016287003411466,0.3333333333333333,0.3333333333333333,0.14285714285714285,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,N,27.0,8613.0,2.0,2.0,27.0,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,N,0.5799945,0.84676147,0.5446911,0.36806688,1.6999078e-08,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,43.439625,15639.043,2.6340733,2.1042006,19.0,no checking account,delay in paying off in the past,car (used),.. >= 1000 DM ,1 <= ... < 4 years,male : single,none,"if not A121/A122 : car or other, not in attribute 6",none,own,2,skilled employee / official,1,none,yes,129.68634271621704,Y,Y,N,N,Y
