Dataset,Attack,Model,Metric,Value
breast_cancer,deepfool,lr,eval_L1,8.0252075
breast_cancer,deepfool,lr,eval_L2,1.7005435
breast_cancer,deepfool,lr,eval_Linf,0.5239938
breast_cancer,deepfool,lr,eval_Sen,1.8599321
breast_cancer,deepfool,lr,eval_Mahalanobis,0.84267515
breast_cancer,deepfool,lr,eval_Sparsity,29.96875
breast_cancer,deepfool,lr,eval_Neighbour_Distance,0.79838645
breast_cancer,deepfool,svc,eval_L1,1.8211137
breast_cancer,deepfool,svc,eval_L2,0.3922785
breast_cancer,deepfool,svc,eval_Linf,0.14080998
breast_cancer,deepfool,svc,eval_Sen,0.44955483
breast_cancer,deepfool,svc,eval_Mahalanobis,0.1540496
breast_cancer,deepfool,svc,eval_Sparsity,29.9375
breast_cancer,deepfool,svc,eval_Neighbour_Distance,0.33653048
breast_cancer,deepfool,nn_2,eval_L1,6.816253
breast_cancer,deepfool,nn_2,eval_L2,1.5350353
breast_cancer,deepfool,nn_2,eval_Linf,0.56774753
breast_cancer,deepfool,nn_2,eval_Sen,1.6573727
breast_cancer,deepfool,nn_2,eval_Mahalanobis,0.41712266
breast_cancer,deepfool,nn_2,eval_Sparsity,29.84375
breast_cancer,deepfool,nn_2,eval_Neighbour_Distance,1.2585734
breast_cancer,carlini_l_2,lr,eval_L1,1.7654017
breast_cancer,carlini_l_2,lr,eval_L2,0.43918982
breast_cancer,carlini_l_2,lr,eval_Linf,0.18538053
breast_cancer,carlini_l_2,lr,eval_Sen,0.37727907
breast_cancer,carlini_l_2,lr,eval_Mahalanobis,0.20876953
breast_cancer,carlini_l_2,lr,eval_Sparsity,29.8125
breast_cancer,carlini_l_2,lr,eval_Neighbour_Distance,0.30315486
breast_cancer,carlini_l_2,svc,eval_L1,0.0071787327
breast_cancer,carlini_l_2,svc,eval_L2,0.0018375075
breast_cancer,carlini_l_2,svc,eval_Linf,0.0008718787
breast_cancer,carlini_l_2,svc,eval_Sen,0.0015614791
breast_cancer,carlini_l_2,svc,eval_Mahalanobis,0.0006369682
breast_cancer,carlini_l_2,svc,eval_Sparsity,29.703125
breast_cancer,carlini_l_2,svc,eval_Neighbour_Distance,0.0018375075
breast_cancer,carlini_l_2,nn_2,eval_L1,1.033827
breast_cancer,carlini_l_2,nn_2,eval_L2,0.2793217
breast_cancer,carlini_l_2,nn_2,eval_Linf,0.1501957
breast_cancer,carlini_l_2,nn_2,eval_Sen,0.23672031
breast_cancer,carlini_l_2,nn_2,eval_Mahalanobis,0.062349185
breast_cancer,carlini_l_2,nn_2,eval_Sparsity,29.8125
breast_cancer,carlini_l_2,nn_2,eval_Neighbour_Distance,0.26112056
breast_cancer,carlini_l_inf,lr,eval_L1,0.074266866
breast_cancer,carlini_l_inf,lr,eval_L2,0.014439868
breast_cancer,carlini_l_inf,lr,eval_Linf,0.0035925272
breast_cancer,carlini_l_inf,lr,eval_Sen,0.017482933
breast_cancer,carlini_l_inf,lr,eval_Mahalanobis,0.0067689735
breast_cancer,carlini_l_inf,lr,eval_Sparsity,29.703125
breast_cancer,carlini_l_inf,lr,eval_Neighbour_Distance,0.014439868
breast_cancer,carlini_l_inf,svc,eval_L1,0.09008303
breast_cancer,carlini_l_inf,svc,eval_L2,0.017532315
breast_cancer,carlini_l_inf,svc,eval_Linf,0.0044320025
breast_cancer,carlini_l_inf,svc,eval_Sen,0.02122707
breast_cancer,carlini_l_inf,svc,eval_Mahalanobis,0.0062986608
breast_cancer,carlini_l_inf,svc,eval_Sparsity,29.703125
breast_cancer,carlini_l_inf,svc,eval_Neighbour_Distance,0.017532315
breast_cancer,carlini_l_inf,nn_2,eval_L1,0.13033403
breast_cancer,carlini_l_inf,nn_2,eval_L2,0.025541795
breast_cancer,carlini_l_inf,nn_2,eval_Linf,0.006738967
breast_cancer,carlini_l_inf,nn_2,eval_Sen,0.030842954
breast_cancer,carlini_l_inf,nn_2,eval_Mahalanobis,0.0035644763
breast_cancer,carlini_l_inf,nn_2,eval_Sparsity,29.703125
breast_cancer,carlini_l_inf,nn_2,eval_Neighbour_Distance,0.025541795
breast_cancer,lowprofool_l_2,lr,eval_L1,5.9439607
breast_cancer,lowprofool_l_2,lr,eval_L2,1.3016142
breast_cancer,lowprofool_l_2,lr,eval_Linf,0.4537273
breast_cancer,lowprofool_l_2,lr,eval_Sen,1.3336506
breast_cancer,lowprofool_l_2,lr,eval_Mahalanobis,0.6693607
breast_cancer,lowprofool_l_2,lr,eval_Sparsity,29.96875
breast_cancer,lowprofool_l_2,lr,eval_Neighbour_Distance,0.4952347
breast_cancer,lowprofool_l_2,svc,eval_L1,4.3551884
breast_cancer,lowprofool_l_2,svc,eval_L2,0.9481445
breast_cancer,lowprofool_l_2,svc,eval_Linf,0.3485444
breast_cancer,lowprofool_l_2,svc,eval_Sen,1.0619885
breast_cancer,lowprofool_l_2,svc,eval_Mahalanobis,0.37888184
breast_cancer,lowprofool_l_2,svc,eval_Sparsity,29.9375
breast_cancer,lowprofool_l_2,svc,eval_Neighbour_Distance,0.6506618
breast_cancer,lowprofool_l_2,nn_2,eval_L1,7.3194876
breast_cancer,lowprofool_l_2,nn_2,eval_L2,1.7114276
breast_cancer,lowprofool_l_2,nn_2,eval_Linf,0.7109751
breast_cancer,lowprofool_l_2,nn_2,eval_Sen,1.8252915
breast_cancer,lowprofool_l_2,nn_2,eval_Mahalanobis,0.46905112
breast_cancer,lowprofool_l_2,nn_2,eval_Sparsity,29.953125
breast_cancer,lowprofool_l_2,nn_2,eval_Neighbour_Distance,1.4113357
breast_cancer,lowprofool_l_inf,lr,eval_L1,6.212195
breast_cancer,lowprofool_l_inf,lr,eval_L2,1.3524555
breast_cancer,lowprofool_l_inf,lr,eval_Linf,0.4515173
breast_cancer,lowprofool_l_inf,lr,eval_Sen,1.3992732
breast_cancer,lowprofool_l_inf,lr,eval_Mahalanobis,0.6920702
breast_cancer,lowprofool_l_inf,lr,eval_Sparsity,29.96875
breast_cancer,lowprofool_l_inf,lr,eval_Neighbour_Distance,0.5137716
breast_cancer,lowprofool_l_inf,svc,eval_L1,4.34616
breast_cancer,lowprofool_l_inf,svc,eval_L2,0.9452022
breast_cancer,lowprofool_l_inf,svc,eval_Linf,0.34572694
breast_cancer,lowprofool_l_inf,svc,eval_Sen,1.0604314
breast_cancer,lowprofool_l_inf,svc,eval_Mahalanobis,0.3773237
breast_cancer,lowprofool_l_inf,svc,eval_Sparsity,29.9375
