,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.136986301369863,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,27.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,0.1369863,0.0,0.0,0.37755102,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,27.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,206.4474220275879,Y,N,<=50K,<=50K,<=50K
0,0.3835616438356165,0.0,0.0,0.39795918367346933,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K,45.00000000000001,0.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K,0.39288265,5.066395e-07,5.066395e-07,0.46671367,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,45.680435,0.05066344,0.0022069216,46.737938,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,206.4474220275879,N,N,<=50K,>50K,<=50K
0,0.1643835616438356,0.0,0.0,0.5510204081632653,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,29.0,0.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,0.14643836,5.066395e-07,5.066395e-07,0.54394835,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,27.69,0.05066344,0.0022069216,54.30694,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,206.4474220275879,Y,Y,>50K,>50K,<=50K
0,0.1780821917808219,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,30.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,0.19348478,5.066395e-07,5.066395e-07,0.9051316,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,31.12439,0.05066344,0.0022069216,89.702896,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,206.4474220275879,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.022020220202202023,0.0,0.5,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,29.0,2202.0,0.0,50.00000000000001,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,0.1526565,0.103605956,5.066395e-07,0.546594,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,28.143925,10360.492,0.0022069216,54.566216,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,206.4474220275879,Y,Y,<=50K,<=50K,>50K
0,0.46575342465753417,0.0,0.0,0.4693877551020408,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.99999999999999,0.0,0.0,47.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.6479389,5.066395e-07,5.066395e-07,0.21565574,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,64.29954,0.05066344,0.0022069216,22.134262,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,206.4474220275879,Y,Y,>50K,>50K,<=50K
0,0.5616438356164384,0.15024150241502415,0.0,0.6020408163265305,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,58.00000000000001,15024.0,0.0,59.99999999999999,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.5661776,0.060771197,5.066395e-07,0.58003765,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,58.330967,6077.059,0.0022069216,57.84369,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,206.4474220275879,Y,Y,>50K,>50K,<=50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,0.06849315,0.0,0.0,0.39795917,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,22.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,206.4474220275879,Y,N,<=50K,<=50K,<=50K
0,0.4520547945205479,0.0,0.0,0.39795918367346933,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,50.0,0.0,0.0,40.0,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,0.39245176,5.066395e-07,5.066395e-07,0.9425769,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,45.64898,0.05066344,0.0022069216,93.372536,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,206.4474220275879,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.03103031030310303,0.0,0.39795918367346933,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K,50.0,3103.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K,0.44690284,0.024264842,5.066395e-07,0.39428186,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,49.623905,2426.46,0.0022069216,39.63962,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,206.4474220275879,Y,Y,>50K,>50K,<=50K
