,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5641025641025641,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,62.0,0.0,0.0,1.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,2.6226044e-06,5.066395e-07,5.066395e-07,0.9976467,Greater than 45,Male,Caucasian,F,0,0,0,18.000204,1.92523e-05,0.00053551793,797.1197,Greater than 45,Male,Caucasian,F,0,0,0,42.72693586349487,Y,Y,Medium-Low,Medium-Low,High
0,0.12820512820512822,0.02631578947368421,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,M,0,0,0,Medium-Low,28.0,1.0,1.0,1.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.0612579,0.14253777,0.0009505749,0.0013229847,25 - 45,Male,African-American,M,0,0,0,22.778114,5.4164352,1.0047576,1.0570648,25 - 45,Male,African-American,M,0,0,0,42.72693586349487,Y,Y,Medium-Low,Medium-Low,High
0,0.5,0.21052631578947367,0.0,0.0012515644555694619,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,57.0,8.0,0.0,1.0,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,0.35580748,0.44084832,5.066395e-07,0.0012611449,Greater than 45,Male,African-American,M,1,0,1,45.752983,16.752235,0.00053551793,1.0076548,Greater than 45,Male,African-American,M,1,0,1,42.72693586349487,Y,Y,Medium-Low,Medium-Low,High
0,0.01282051282051283,0.02631578947368421,0.0,0.0012515644555694619,Less than 25,Male,African-American,F,1,0,1,High,19.0,1.0,0.0,1.0,Less than 25,Male,African-American,F,1,0,1,High,0.013814956,0.02113393,5.066395e-07,0.0012420714,Less than 25,Male,African-American,F,1,0,1,19.077566,0.8030893,0.00053551793,0.9924151,Less than 25,Male,African-American,F,1,0,1,42.72693586349487,Y,Y,High,High,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Other,M,0,0,0,Medium-Low,37.0,0.0,1.0,1.0,25 - 45,Female,Other,M,0,0,0,Medium-Low,0.06674388,5.066395e-07,0.00053808093,0.99999994,25 - 45,Female,Other,M,0,0,0,23.206022,1.92523e-05,0.5687516,798.99994,25 - 45,Female,Other,M,0,0,0,42.72693586349487,Y,Y,Medium-Low,Medium-Low,High
0,0.06410256410256412,0.10526315789473684,0.000946073793755913,0.0,Less than 25,Male,African-American,F,1,0,1,High,23.0,4.0,1.0,0.0,Less than 25,Male,African-American,F,1,0,1,High,0.08519733,0.061023623,0.00094649196,5.066395e-07,Less than 25,Male,African-American,F,1,0,1,24.645391,2.3188977,1.000442,0.00040480494,Less than 25,Male,African-American,F,1,0,1,42.72693586349487,Y,Y,High,High,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.042964637,0.26136047,0.0009480715,5.066395e-07,25 - 45,Male,Caucasian,F,0,0,0,21.35124,9.931698,1.0021116,0.00040480494,25 - 45,Male,Caucasian,F,0,0,0,42.72693586349487,Y,Y,Medium-Low,Medium-Low,High
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.009371042,0.46477857,0.00094121695,5.066395e-07,Greater than 45,Male,Caucasian,F,0,0,0,18.730942,17.661585,0.9948663,0.00040480494,Greater than 45,Male,Caucasian,F,0,0,0,42.72693586349487,Y,Y,Medium-Low,Medium-Low,High
0,0.4871794871794872,0.0,0.000946073793755913,0.007509386733416772,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,56.0,0.0,1.0,6.0,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,1.1920929e-07,5.066395e-07,0.0008279979,0.6453941,Greater than 45,Male,African-American,F,0,0,0,18.00001,1.92523e-05,0.87519383,515.66986,Greater than 45,Male,African-American,F,0,0,0,42.72693586349487,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.05263157894736842,0.020813623462630083,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,30.0,2.0,21.999999999999996,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.059187233,0.26855707,0.021516055,5.066395e-07,25 - 45,Male,Caucasian,F,0,0,0,22.616604,10.205169,22.74247,0.00040480494,25 - 45,Male,Caucasian,F,0,0,0,42.72693586349487,Y,Y,Medium-Low,Medium-Low,High
