Dataset,Attack,Model,Metric,Value
compas,deepfool,lr,eval_L1,0.68748766
compas,deepfool,lr,eval_L2,0.41082522
compas,deepfool,lr,eval_Linf,0.32571372
compas,deepfool,lr,eval_Sen,1.6436429
compas,deepfool,lr,eval_Mahalanobis,0.051259123
compas,deepfool,lr,eval_Sparsity,3.9382102
compas,deepfool,lr,eval_Neighbour_Distance,0.2678909
compas,deepfool,svc,eval_L1,0.39096084
compas,deepfool,svc,eval_L2,0.23598038
compas,deepfool,svc,eval_Linf,0.18330482
compas,deepfool,svc,eval_Sen,0.909014
compas,deepfool,svc,eval_Mahalanobis,0.029037522
compas,deepfool,svc,eval_Sparsity,3.9360795
compas,deepfool,svc,eval_Neighbour_Distance,0.11780957
compas,deepfool,nn_2,eval_L1,0.86616033
compas,deepfool,nn_2,eval_L2,0.4636512
compas,deepfool,nn_2,eval_Linf,0.3198493
compas,deepfool,nn_2,eval_Sen,1.8901907
compas,deepfool,nn_2,eval_Mahalanobis,0.08558772
compas,deepfool,nn_2,eval_Sparsity,3.9928977
compas,deepfool,nn_2,eval_Neighbour_Distance,0.2946748
compas,carlini_l_2,lr,eval_L1,0.3211305
compas,carlini_l_2,lr,eval_L2,0.24258478
compas,carlini_l_2,lr,eval_Linf,0.21469924
compas,carlini_l_2,lr,eval_Sen,0.76018816
compas,carlini_l_2,lr,eval_Mahalanobis,0.026964251
compas,carlini_l_2,lr,eval_Sparsity,3.8039773
compas,carlini_l_2,lr,eval_Neighbour_Distance,0.13915186
compas,carlini_l_2,svc,eval_L1,0.002432896
compas,carlini_l_2,svc,eval_L2,0.0017435866
compas,carlini_l_2,svc,eval_Linf,0.001467236
compas,carlini_l_2,svc,eval_Sen,0.004693577
compas,carlini_l_2,svc,eval_Mahalanobis,0.00021983849
compas,carlini_l_2,svc,eval_Sparsity,3.200284
compas,carlini_l_2,svc,eval_Neighbour_Distance,0.0013410634
compas,carlini_l_2,nn_2,eval_L1,0.32971326
compas,carlini_l_2,nn_2,eval_L2,0.24592008
compas,carlini_l_2,nn_2,eval_Linf,0.21366097
compas,carlini_l_2,nn_2,eval_Sen,0.78026485
compas,carlini_l_2,nn_2,eval_Mahalanobis,0.027705593
compas,carlini_l_2,nn_2,eval_Sparsity,3.8110795
compas,carlini_l_2,nn_2,eval_Neighbour_Distance,0.14605525
compas,carlini_l_inf,lr,eval_L1,0.0033196881
compas,carlini_l_inf,lr,eval_L2,0.0021325103
compas,carlini_l_inf,lr,eval_Linf,0.0015976062
compas,carlini_l_inf,lr,eval_Sen,0.0071811588
compas,carlini_l_inf,lr,eval_Mahalanobis,0.00026652237
compas,carlini_l_inf,lr,eval_Sparsity,3.2201705
compas,carlini_l_inf,lr,eval_Neighbour_Distance,0.0017599171
compas,carlini_l_inf,svc,eval_L1,0.0033067798
compas,carlini_l_inf,svc,eval_L2,0.0021441942
compas,carlini_l_inf,svc,eval_Linf,0.001608149
compas,carlini_l_inf,svc,eval_Sen,0.0070762923
compas,carlini_l_inf,svc,eval_Mahalanobis,0.0002667058
compas,carlini_l_inf,svc,eval_Sparsity,3.2130682
compas,carlini_l_inf,svc,eval_Neighbour_Distance,0.0016506285
compas,carlini_l_inf,nn_2,eval_L1,0.0031132582
compas,carlini_l_inf,nn_2,eval_L2,0.002012208
compas,carlini_l_inf,nn_2,eval_Linf,0.0014994275
compas,carlini_l_inf,nn_2,eval_Sen,0.0065284544
compas,carlini_l_inf,nn_2,eval_Mahalanobis,0.00025447964
compas,carlini_l_inf,nn_2,eval_Sparsity,3.2102273
compas,carlini_l_inf,nn_2,eval_Neighbour_Distance,0.0016793925
compas,fgsm_l_1,lr,eval_L1,0.2115874
compas,fgsm_l_1,lr,eval_L2,0.12859364
compas,fgsm_l_1,lr,eval_Linf,0.10319293
compas,fgsm_l_1,lr,eval_Sen,0.48304865
compas,fgsm_l_1,lr,eval_Mahalanobis,0.015980503
compas,fgsm_l_1,lr,eval_Sparsity,3.931108
compas,fgsm_l_1,lr,eval_Neighbour_Distance,0.061938893
compas,fgsm_l_1,svc,eval_L1,0.21562104
compas,fgsm_l_1,svc,eval_L2,0.13011426
compas,fgsm_l_1,svc,eval_Linf,0.10063559
compas,fgsm_l_1,svc,eval_Sen,0.49893647
compas,fgsm_l_1,svc,eval_Mahalanobis,0.016042344
compas,fgsm_l_1,svc,eval_Sparsity,3.9360795
compas,fgsm_l_1,svc,eval_Neighbour_Distance,0.06420996
compas,fgsm_l_1,nn_2,eval_L1,0.1670678
compas,fgsm_l_1,nn_2,eval_L2,0.099016756
compas,fgsm_l_1,nn_2,eval_Linf,0.07609066
compas,fgsm_l_1,nn_2,eval_Sen,0.40957385
compas,fgsm_l_1,nn_2,eval_Mahalanobis,0.011838412
compas,fgsm_l_1,nn_2,eval_Sparsity,3.9197443
compas,fgsm_l_1,nn_2,eval_Neighbour_Distance,0.05225954
compas,fgsm_l_2,lr,eval_L1,0.44954574
compas,fgsm_l_2,lr,eval_L2,0.27734384
compas,fgsm_l_2,lr,eval_Linf,0.22713411
