Dataset,Attack,Model,Metric,Value
compas,deepfool,lr,groundtruth_attack_success,0.7933238636363636
compas,deepfool,lr,pred_attack_success,0.9985795454545454
compas,deepfool,lr,original_accuracy,0.7933238636363636
compas,deepfool,lr,robust_accuracy,0.20667613636363635
compas,deepfool,svc,groundtruth_attack_success,0.7975852272727273
compas,deepfool,svc,pred_attack_success,1.0
compas,deepfool,svc,original_accuracy,0.7975852272727273
compas,deepfool,svc,robust_accuracy,0.20241477272727273
compas,deepfool,nn_2,groundtruth_attack_success,0.8103693181818182
compas,deepfool,nn_2,pred_attack_success,0.9872159090909091
compas,deepfool,nn_2,original_accuracy,0.8089488636363636
compas,deepfool,nn_2,robust_accuracy,0.18963068181818182
compas,carlini_l_2,lr,groundtruth_attack_success,0.6946022727272727
compas,carlini_l_2,lr,pred_attack_success,0.8799715909090909
compas,carlini_l_2,lr,original_accuracy,0.7933238636363636
compas,carlini_l_2,lr,robust_accuracy,0.3053977272727273
compas,carlini_l_2,svc,groundtruth_attack_success,0.2080965909090909
compas,carlini_l_2,svc,pred_attack_success,0.05965909090909091
compas,carlini_l_2,svc,original_accuracy,0.7975852272727273
compas,carlini_l_2,svc,robust_accuracy,0.7919034090909091
compas,carlini_l_2,nn_2,groundtruth_attack_success,0.7208806818181818
compas,carlini_l_2,nn_2,pred_attack_success,0.8934659090909091
compas,carlini_l_2,nn_2,original_accuracy,0.8089488636363636
compas,carlini_l_2,nn_2,robust_accuracy,0.2791193181818182
compas,carlini_l_inf,lr,groundtruth_attack_success,0.2080965909090909
compas,carlini_l_inf,lr,pred_attack_success,0.09090909090909091
compas,carlini_l_inf,lr,original_accuracy,0.7933238636363636
compas,carlini_l_inf,lr,robust_accuracy,0.7919034090909091
compas,carlini_l_inf,svc,groundtruth_attack_success,0.21732954545454544
compas,carlini_l_inf,svc,pred_attack_success,0.09303977272727272
compas,carlini_l_inf,svc,original_accuracy,0.7975852272727273
compas,carlini_l_inf,svc,robust_accuracy,0.7826704545454546
compas,carlini_l_inf,nn_2,groundtruth_attack_success,0.2159090909090909
compas,carlini_l_inf,nn_2,pred_attack_success,0.09303977272727272
compas,carlini_l_inf,nn_2,original_accuracy,0.8089488636363636
compas,carlini_l_inf,nn_2,robust_accuracy,0.7840909090909091
compas,fgsm_l_1,lr,groundtruth_attack_success,0.2997159090909091
compas,fgsm_l_1,lr,pred_attack_success,0.3728693181818182
compas,fgsm_l_1,lr,original_accuracy,0.7933238636363636
compas,fgsm_l_1,lr,robust_accuracy,0.7002840909090909
compas,fgsm_l_1,svc,groundtruth_attack_success,0.33238636363636365
compas,fgsm_l_1,svc,pred_attack_success,0.4169034090909091
compas,fgsm_l_1,svc,original_accuracy,0.7975852272727273
compas,fgsm_l_1,svc,robust_accuracy,0.6676136363636364
compas,fgsm_l_1,nn_2,groundtruth_attack_success,0.3196022727272727
compas,fgsm_l_1,nn_2,pred_attack_success,0.3757102272727273
compas,fgsm_l_1,nn_2,original_accuracy,0.8089488636363636
compas,fgsm_l_1,nn_2,robust_accuracy,0.6803977272727273
compas,fgsm_l_2,lr,groundtruth_attack_success,0.5923295454545454
compas,fgsm_l_2,lr,pred_attack_success,0.7876420454545454
compas,fgsm_l_2,lr,original_accuracy,0.7933238636363636
compas,fgsm_l_2,lr,robust_accuracy,0.40767045454545453
compas,fgsm_l_2,svc,groundtruth_attack_success,0.6633522727272727
compas,fgsm_l_2,svc,pred_attack_success,0.8572443181818182
compas,fgsm_l_2,svc,original_accuracy,0.7975852272727273
compas,fgsm_l_2,svc,robust_accuracy,0.3366477272727273
compas,fgsm_l_2,nn_2,groundtruth_attack_success,0.6455965909090909
compas,fgsm_l_2,nn_2,pred_attack_success,0.8139204545454546
compas,fgsm_l_2,nn_2,original_accuracy,0.8089488636363636
compas,fgsm_l_2,nn_2,robust_accuracy,0.3544034090909091
compas,fgsm_l_inf,lr,groundtruth_attack_success,0.7926136363636364
