,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5641025641025641,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,62.0,0.0,0.0,1.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,1.0,0.13937339,1.0,Greater than 45,Male,Caucasian,F,0,0,0,18.0,38.0,147.31767,799.0,Greater than 45,Male,Caucasian,F,0,0,0,1.1933772563934326,Y,Y,Medium-Low,Medium-Low,High
0,0.12820512820512822,0.02631578947368421,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,M,0,0,0,Medium-Low,28.0,1.0,1.0,1.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.0,0.25058588,0.012176524,0.09886946,25 - 45,Male,African-American,M,0,0,0,18.0,9.522264,12.870585,78.9967,25 - 45,Male,African-American,M,0,0,0,1.1933772563934326,Y,Y,Medium-Low,Medium-Low,High
0,0.5,0.21052631578947367,0.0,0.0012515644555694619,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,57.0,8.0,0.0,1.0,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,0.3842516,0.39307815,0.009141385,0.08071078,Greater than 45,Male,African-American,M,1,0,1,47.971622,14.93697,9.662443,64.487915,Greater than 45,Male,African-American,M,1,0,1,1.1933772563934326,Y,Y,Medium-Low,Medium-Low,High
0,0.01282051282051283,0.02631578947368421,0.0,0.0012515644555694619,Less than 25,Male,African-American,F,1,0,1,High,19.0,1.0,0.0,1.0,Less than 25,Male,African-American,F,1,0,1,High,0.025189824,0.0068076067,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,19.964808,0.25868905,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,1.1933772563934326,Y,Y,High,High,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Other,M,0,0,0,Medium-Low,37.0,0.0,1.0,1.0,25 - 45,Female,Other,M,0,0,0,Medium-Low,0.0,1.0,0.0927647,0.7993621,25 - 45,Female,Other,M,0,0,0,18.0,38.0,98.052284,638.6903,25 - 45,Female,Other,M,0,0,0,1.1933772563934326,Y,Y,Medium-Low,Medium-Low,High
0,0.06410256410256412,0.10526315789473684,0.000946073793755913,0.0,Less than 25,Male,African-American,F,1,0,1,High,23.0,4.0,1.0,0.0,Less than 25,Male,African-American,F,1,0,1,High,0.097019605,0.053348266,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,25.567528,2.027234,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,1.1933772563934326,Y,Y,High,High,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,0.2904447,0.012854699,0.10351277,25 - 45,Male,Caucasian,F,0,0,0,18.0,11.036899,13.587417,82.7067,25 - 45,Male,Caucasian,F,0,0,0,1.1933772563934326,Y,Y,Medium-Low,Medium-Low,High
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,1.0,0.12419675,1.0,Greater than 45,Male,Caucasian,F,0,0,0,18.0,38.0,131.27597,799.0,Greater than 45,Male,Caucasian,F,0,0,0,1.1933772563934326,Y,Y,Medium-Low,Medium-Low,High
0,0.4871794871794872,0.0,0.000946073793755913,0.007509386733416772,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,56.0,0.0,1.0,6.0,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,0.0,1.0,0.054799955,0.47562087,Greater than 45,Male,African-American,F,0,0,0,18.0,38.0,57.923553,380.02106,Greater than 45,Male,African-American,F,0,0,0,1.1933772563934326,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.05263157894736842,0.020813623462630083,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,30.0,2.0,21.999999999999996,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,0.3520758,0.03580846,0.13033888,25 - 45,Male,Caucasian,F,0,0,0,18.0,13.37888,37.84954,104.14076,25 - 45,Male,Caucasian,F,0,0,0,1.1933772563934326,Y,Y,Medium-Low,Medium-Low,High
