Dataset,Attack,Model,Metric,Value
diabetes,deepfool,lr,eval_L1,0.5726649
diabetes,deepfool,lr,eval_L2,0.27191386
diabetes,deepfool,lr,eval_Linf,0.19375816
diabetes,deepfool,lr,eval_Sen,0.47797757
diabetes,deepfool,lr,eval_Mahalanobis,0.050007753
diabetes,deepfool,lr,eval_Sparsity,7.4375
diabetes,deepfool,lr,eval_Neighbour_Distance,0.16966322
diabetes,deepfool,svc,eval_L1,0.48181152
diabetes,deepfool,svc,eval_L2,0.23050341
diabetes,deepfool,svc,eval_Linf,0.15919764
diabetes,deepfool,svc,eval_Sen,0.4114123
diabetes,deepfool,svc,eval_Mahalanobis,0.038427193
diabetes,deepfool,svc,eval_Sparsity,7.4609375
diabetes,deepfool,svc,eval_Neighbour_Distance,0.17384747
diabetes,deepfool,nn_2,eval_L1,0.7204505
diabetes,deepfool,nn_2,eval_L2,0.29117188
diabetes,deepfool,nn_2,eval_Linf,0.17011602
diabetes,deepfool,nn_2,eval_Sen,0.5704205
diabetes,deepfool,nn_2,eval_Mahalanobis,0.05597868
diabetes,deepfool,nn_2,eval_Sparsity,7.5390625
diabetes,deepfool,nn_2,eval_Neighbour_Distance,0.18725154
diabetes,carlini_l_2,lr,eval_L1,0.34291714
diabetes,carlini_l_2,lr,eval_L2,0.19415785
diabetes,carlini_l_2,lr,eval_Linf,0.14909571
diabetes,carlini_l_2,lr,eval_Sen,0.2931349
diabetes,carlini_l_2,lr,eval_Mahalanobis,0.032636218
diabetes,carlini_l_2,lr,eval_Sparsity,8.0
diabetes,carlini_l_2,lr,eval_Neighbour_Distance,0.14510623
diabetes,carlini_l_2,svc,eval_L1,0.016780213
diabetes,carlini_l_2,svc,eval_L2,0.009107166
diabetes,carlini_l_2,svc,eval_Linf,0.0066140825
diabetes,carlini_l_2,svc,eval_Sen,0.014676655
diabetes,carlini_l_2,svc,eval_Mahalanobis,0.0014483576
diabetes,carlini_l_2,svc,eval_Sparsity,6.84375
diabetes,carlini_l_2,svc,eval_Neighbour_Distance,0.009107166
diabetes,carlini_l_2,nn_2,eval_L1,0.4421063
diabetes,carlini_l_2,nn_2,eval_L2,0.21136162
diabetes,carlini_l_2,nn_2,eval_Linf,0.1392834
diabetes,carlini_l_2,nn_2,eval_Sen,0.36130998
diabetes,carlini_l_2,nn_2,eval_Mahalanobis,0.034385227
diabetes,carlini_l_2,nn_2,eval_Sparsity,8.0
diabetes,carlini_l_2,nn_2,eval_Neighbour_Distance,0.15157458
diabetes,carlini_l_inf,lr,eval_L1,0.031938747
diabetes,carlini_l_inf,lr,eval_L2,0.012913385
diabetes,carlini_l_inf,lr,eval_Linf,0.006052626
diabetes,carlini_l_inf,lr,eval_Sen,0.026065657
diabetes,carlini_l_inf,lr,eval_Mahalanobis,0.0022010026
diabetes,carlini_l_inf,lr,eval_Sparsity,6.9609375
diabetes,carlini_l_inf,lr,eval_Neighbour_Distance,0.012913385
diabetes,carlini_l_inf,svc,eval_L1,0.045511927
diabetes,carlini_l_inf,svc,eval_L2,0.017758042
diabetes,carlini_l_inf,svc,eval_Linf,0.008001322
diabetes,carlini_l_inf,svc,eval_Sen,0.037199557
diabetes,carlini_l_inf,svc,eval_Mahalanobis,0.0029300451
diabetes,carlini_l_inf,svc,eval_Sparsity,6.9296875
diabetes,carlini_l_inf,svc,eval_Neighbour_Distance,0.017758042
diabetes,carlini_l_inf,nn_2,eval_L1,0.047431394
diabetes,carlini_l_inf,nn_2,eval_L2,0.018817138
diabetes,carlini_l_inf,nn_2,eval_Linf,0.008715668
diabetes,carlini_l_inf,nn_2,eval_Sen,0.03853705
diabetes,carlini_l_inf,nn_2,eval_Mahalanobis,0.0033033162
diabetes,carlini_l_inf,nn_2,eval_Sparsity,6.9921875
diabetes,carlini_l_inf,nn_2,eval_Neighbour_Distance,0.018817138
diabetes,lowprofool_l_2,lr,eval_L1,1.6105348
diabetes,lowprofool_l_2,lr,eval_L2,0.75451
diabetes,lowprofool_l_2,lr,eval_Linf,0.5227817
diabetes,lowprofool_l_2,lr,eval_Sen,1.3518597
diabetes,lowprofool_l_2,lr,eval_Mahalanobis,0.13648891
diabetes,lowprofool_l_2,lr,eval_Sparsity,7.4375
diabetes,lowprofool_l_2,lr,eval_Neighbour_Distance,0.44294727
diabetes,lowprofool_l_2,svc,eval_L1,1.3734782
diabetes,lowprofool_l_2,svc,eval_L2,0.65565383
diabetes,lowprofool_l_2,svc,eval_Linf,0.45477158
diabetes,lowprofool_l_2,svc,eval_Sen,1.1750696
diabetes,lowprofool_l_2,svc,eval_Mahalanobis,0.108141795
diabetes,lowprofool_l_2,svc,eval_Sparsity,7.4609375
diabetes,lowprofool_l_2,svc,eval_Neighbour_Distance,0.39500102
diabetes,lowprofool_l_2,nn_2,eval_L1,1.4900798
diabetes,lowprofool_l_2,nn_2,eval_L2,0.60166866
diabetes,lowprofool_l_2,nn_2,eval_Linf,0.3470963
diabetes,lowprofool_l_2,nn_2,eval_Sen,1.1872813
diabetes,lowprofool_l_2,nn_2,eval_Mahalanobis,0.11282893
diabetes,lowprofool_l_2,nn_2,eval_Sparsity,7.5546875
diabetes,lowprofool_l_2,nn_2,eval_Neighbour_Distance,0.35810772
diabetes,lowprofool_l_inf,lr,eval_L1,1.6170864
diabetes,lowprofool_l_inf,lr,eval_L2,0.74866843
diabetes,lowprofool_l_inf,lr,eval_Linf,0.5067227
diabetes,lowprofool_l_inf,lr,eval_Sen,1.3581611
