,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.136986301369863,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,27.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,0.14301978,0.061036218,0.008869055,0.38848114,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,27.440443,6103.5605,38.633602,39.07115,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,0.04799842834472656,Y,N,<=50K,<=50K,<=50K
0,0.3835616438356165,0.0,0.0,0.39795918367346933,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,45.00000000000001,0.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,0.38959512,0.06103622,0.008869056,0.4088893,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,45.44044,6103.561,38.633606,41.07115,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,0.04799842834472656,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.5510204081632653,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,29.0,0.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,0.15835008,0.0,0.0,0.54009026,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,28.559557,0.0,0.0,53.928844,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,0.04799842834472656,Y,N,>50K,>50K,>50K
0,0.1780821917808219,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,30.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,0.18411568,0.061036218,0.008869055,0.4088893,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,30.440445,6103.5605,38.633602,41.07115,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,0.04799842834472656,Y,N,<=50K,<=50K,<=50K
0,0.1643835616438356,0.022020220202202023,0.0,0.5,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,29.0,2202.0,0.0,50.00000000000001,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,0.17041704,0.08305644,0.008869055,0.5109301,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,29.440445,8305.562,38.633602,51.07115,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,0.04799842834472656,Y,N,<=50K,<=50K,<=50K
0,0.46575342465753417,0.0,0.0,0.4693877551020408,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.99999999999999,0.0,0.0,47.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.45971996,0.0,0.0,0.45845765,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,50.55956,0.0,0.0,45.92885,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0.04799842834472656,Y,N,>50K,>50K,>50K
0,0.5616438356164384,0.15024150241502415,0.0,0.6020408163265305,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,58.00000000000001,15024.0,0.0,59.99999999999999,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.55561036,0.08920529,0.0,0.5911107,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,57.559555,8920.439,0.0,58.92885,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0.04799842834472656,Y,N,>50K,>50K,>50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,0.07452663,0.06103621,0.008869054,0.4088893,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,22.440445,6103.56,38.6336,41.07115,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,0.04799842834472656,Y,N,<=50K,<=50K,<=50K
0,0.4520547945205479,0.0,0.0,0.39795918367346933,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,50.0,0.0,0.0,40.0,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,0.45808828,0.06103622,0.008869055,0.4088893,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,50.440445,6103.561,38.633602,41.07115,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,0.04799842834472656,Y,N,<=50K,<=50K,<=50K
0,0.4520547945205479,0.03103031030310303,0.0,0.39795918367346933,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,50.0,3103.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,0.45808828,0.092066534,0.008869056,0.4088893,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,50.440445,9206.562,38.633606,41.07115,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0.04799842834472656,N,N,>50K,<=50K,>50K
