,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.136986301369863,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,27.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,0.14129652,0.0744733,0.0074129766,0.38568196,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,27.314646,7447.2554,32.290928,38.796833,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,0.047126054763793945,Y,N,<=50K,<=50K,<=50K
0,0.3835616438356165,0.0,0.0,0.39795918367346933,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,45.00000000000001,0.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,0.38787186,0.0744733,0.0074129766,0.4060901,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,45.314648,7447.2554,32.290928,40.79683,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,0.047126054763793945,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.5510204081632653,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,29.0,0.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,0.16007334,0.0,0.0,0.5428895,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,28.685354,0.0,0.0,54.203167,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,0.047126054763793945,Y,N,>50K,>50K,>50K
0,0.1780821917808219,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,30.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,0.18239242,0.0744733,0.0074129766,0.4060901,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,30.314648,7447.2554,32.290928,40.79683,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,0.047126054763793945,Y,N,<=50K,<=50K,<=50K
0,0.1643835616438356,0.022020220202202023,0.0,0.5,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,29.0,2202.0,0.0,50.00000000000001,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,0.16869378,0.09649352,0.0074129766,0.5081309,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,29.314646,9649.256,32.290928,50.79683,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,0.047126054763793945,Y,N,<=50K,<=50K,<=50K
0,0.46575342465753417,0.0,0.0,0.4693877551020408,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.99999999999999,0.0,0.0,47.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.46144322,0.0,0.0,0.46125683,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,50.685352,0.0,0.0,46.20317,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0.047126054763793945,Y,N,>50K,>50K,>50K
0,0.5616438356164384,0.15024150241502415,0.0,0.6020408163265305,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,58.00000000000001,15024.0,0.0,59.99999999999999,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.55733365,0.07576821,0.0,0.5939099,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,57.685356,7576.745,0.0,59.20317,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0.047126054763793945,Y,N,>50K,>50K,>50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,0.07280336,0.0744733,0.0074129766,0.4060901,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,22.314646,7447.2554,32.290928,40.79683,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,0.047126054763793945,Y,N,<=50K,<=50K,<=50K
0,0.4520547945205479,0.0,0.0,0.39795918367346933,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,50.0,0.0,0.0,40.0,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,0.45636502,0.0744733,0.0074129766,0.4060901,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,50.314644,7447.2554,32.290928,40.79683,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,0.047126054763793945,Y,N,<=50K,<=50K,<=50K
0,0.4520547945205479,0.03103031030310303,0.0,0.39795918367346933,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,50.0,3103.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,0.45636502,0.10550361,0.0074129766,0.4060901,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,50.314644,10550.256,32.290928,40.79683,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0.047126054763793945,N,N,>50K,<=50K,>50K
0,0.35616438356164376,0.0,0.0,0.4183673469387755,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K,42.99999999999999,0.0,0.0,42.0,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K,0.36047462,0.0744733,0.0074129766,0.4264983,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States,43.314644,7447.2554,32.290928,42.796833,Self-emp-not-inc,Bachelors,Never-married,Sales,Not-in-family,White,Male,United-States,0.047126054763793945,Y,Y,<=50K,<=50K,>50K
0,0.27397260273972607,0.0,0.0,0.39795918367346933,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,37.00000000000001,0.0,0.0,40.0,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K,0.27828282,0.0744733,0.0074129766,0.4060901,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States,37.314648,7447.2554,32.290928,40.79683,Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Male,United-States,0.047126054763793945,Y,N,<=50K,<=50K,<=50K
0,0.32876712328767127,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K,41.00000000000001,0.0,0.0,40.0,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K,0.33307734,0.0744733,0.0074129766,0.4060901,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,41.314644,7447.2554,32.290928,40.79683,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0.047126054763793945,N,N,>50K,<=50K,>50K
0,0.3972602739726027,0.0,0.0,0.44897959183673464,Private,7th-8th,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,<=50K,46.0,0.0,0.0,45.0,Private,7th-8th,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,<=50K,0.4015705,0.0744733,0.0074129766,0.45711052,Private,7th-8th,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,46.314648,7447.2554,32.290928,45.79683,Private,7th-8th,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,0.047126054763793945,Y,Y,<=50K,<=50K,>50K
0,0.2191780821917808,0.0,0.0,0.346938775510204,Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,United-States,<=50K,33.0,0.0,0.0,35.0,Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,United-States,<=50K,0.2234883,0.0744733,0.0074129766,0.35506973,Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,United-States,33.314648,7447.2554,32.290928,35.796833,Private,Some-college,Married-civ-spouse,Other-service,Wife,White,Female,United-States,0.047126054763793945,Y,Y,<=50K,<=50K,>50K
