,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5641025641025641,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,62.0,0.0,0.0,1.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.5295545,0.061813746,0.0,0.04648257,Greater than 45,Male,Caucasian,F,0,0,0,59.30525,2.3489223,0.0,37.139572,Greater than 45,Male,Caucasian,F,0,0,0,0.28406810760498047,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.12820512820512822,0.02631578947368421,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,M,0,0,0,Medium-Low,28.0,1.0,1.0,1.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.08662198,0.113541394,0.00888696,0.0563273,25 - 45,Male,African-American,M,0,0,0,24.756516,4.314573,9.3935175,45.005512,25 - 45,Male,African-American,M,0,0,0,0.28406810760498047,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.5,0.21052631578947367,0.0,0.0012515644555694619,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,57.0,8.0,0.0,1.0,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,0.47698706,0.26658022,0.008713058,0.049229037,Greater than 45,Male,African-American,M,1,0,1,55.20499,10.130049,9.2097025,39.334,Greater than 45,Male,African-American,M,1,0,1,0.28406810760498047,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.01282051282051283,0.02631578947368421,0.0,0.0012515644555694619,Less than 25,Male,African-American,F,1,0,1,High,19.0,1.0,0.0,1.0,Less than 25,Male,African-American,F,1,0,1,High,0.05604629,0.0,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,22.37161,0.0,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,0.28406810760498047,Y,Y,High,High,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Other,M,0,0,0,Medium-Low,37.0,0.0,1.0,1.0,25 - 45,Female,Other,M,0,0,0,Medium-Low,0.19934495,0.091148496,0.009479333,0.05601473,25 - 45,Female,Other,M,0,0,0,33.548904,3.4636428,10.019654,44.75577,25 - 45,Female,Other,M,0,0,0,0.28406810760498047,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.06410256410256412,0.10526315789473684,0.000946073793755913,0.0,Less than 25,Male,African-American,F,1,0,1,High,23.0,4.0,1.0,0.0,Less than 25,Male,African-American,F,1,0,1,High,0.107105255,0.030026004,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,26.354208,1.1409881,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,0.28406810760498047,Y,Y,High,High,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.053676795,0.13935712,0.0058906116,0.054514986,25 - 45,Male,Caucasian,F,0,0,0,22.18679,5.2955704,6.2263765,43.557472,25 - 45,Male,Caucasian,F,0,0,0,0.28406810760498047,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.5429925,0.09043422,0.0,0.050097276,Greater than 45,Male,Caucasian,F,0,0,0,60.353413,3.4365005,0.0,40.02772,Greater than 45,Male,Caucasian,F,0,0,0,0.28406810760498047,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.4871794871794872,0.0,0.000946073793755913,0.007509386733416772,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,56.0,0.0,1.0,6.0,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,0.4507847,0.07392498,0.0,0.05856615,Greater than 45,Male,African-American,F,0,0,0,53.16121,2.8091493,0.0,46.794353,Greater than 45,Male,African-American,F,0,0,0,0.28406810760498047,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.15384615384615383,0.05263157894736842,0.020813623462630083,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,30.0,2.0,21.999999999999996,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.10495886,0.13935709,0.025758162,0.054514956,25 - 45,Male,Caucasian,F,0,0,0,26.18679,5.2955694,27.226377,43.55745,25 - 45,Male,Caucasian,F,0,0,0,0.28406810760498047,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.21794871794871792,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,35.0,0.0,1.0,1.0,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,0.17757839,0.0877435,0.0012635828,0.042158075,25 - 45,Female,Hispanic,F,0,0,0,31.851112,3.3342528,1.335607,33.684303,25 - 45,Female,Hispanic,F,0,0,0,0.28406810760498047,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.29487179487179493,0.05263157894736842,0.039735099337748346,0.0525657071339174,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,41.0,2.0,42.0,42.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.2533486,0.1319071,0.045664974,0.1069773,25 - 45,Male,Caucasian,F,0,0,0,37.76119,5.0124702,48.267876,85.47486,25 - 45,Male,Caucasian,F,0,0,0,0.28406810760498047,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.20512820512820515,0.42105263157894735,0.000946073793755913,0.0012515644555694619,25 - 45,Male,Caucasian,F,1,0,1,High,34.0,16.0,1.0,1.0,25 - 45,Male,Caucasian,F,1,0,1,High,0.26159725,0.34213808,0.0026234575,0.0,25 - 45,Male,Caucasian,F,1,0,1,38.404583,13.001247,2.7729945,0.0,25 - 45,Male,Caucasian,F,1,0,1,0.28406810760498047,N,Y,Medium-Low,High,High
0,0.4358974358974359,0.05263157894736842,0.000946073793755913,0.0012515644555694619,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,52.0,2.0,1.0,1.0,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,0.40450394,0.12843734,0.004721263,0.029680353,Greater than 45,Female,African-American,F,1,0,1,49.551308,4.880619,4.990375,23.714602,Greater than 45,Female,African-American,F,1,0,1,0.28406810760498047,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.21794871794871792,0.3157894736842105,0.0510879848628193,0.0012515644555694619,25 - 45,Female,African-American,M,0,0,0,High,35.0,12.0,54.0,1.0,25 - 45,Female,African-American,M,0,0,0,High,0.26993185,0.22606379,0.04742221,0.0,25 - 45,Female,African-American,M,0,0,0,39.054684,8.590424,50.12528,0.0,25 - 45,Female,African-American,M,0,0,0,0.28406810760498047,N,N,Medium-Low,High,Medium-Low
