,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5641025641025641,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,62.0,0.0,0.0,1.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.41597575,0.23361728,0.011698515,0.102938004,Greater than 45,Male,Caucasian,F,0,0,0,50.446106,8.877457,12.365331,82.24747,Greater than 45,Male,Caucasian,F,0,0,0,0.00901031494140625,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.12820512820512822,0.02631578947368421,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,M,0,0,0,Medium-Low,28.0,1.0,1.0,1.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.0,0.25993323,0.012644596,0.10293807,25 - 45,Male,African-American,M,0,0,0,18.0,9.877462,13.365338,82.24752,25 - 45,Male,African-American,M,0,0,0,0.00901031494140625,Y,Y,Medium-Low,Medium-Low,High
0,0.5,0.21052631578947367,0.0,0.0012515644555694619,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,57.0,8.0,0.0,1.0,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,0.35187307,0.44414374,0.011698524,0.10293807,Greater than 45,Male,African-American,M,1,0,1,45.446102,16.877462,12.365339,82.24752,Greater than 45,Male,African-American,M,1,0,1,0.00901031494140625,Y,Y,Medium-Low,Medium-Low,High
0,0.01282051282051283,0.02631578947368421,0.0,0.0012515644555694619,Less than 25,Male,African-American,F,1,0,1,High,19.0,1.0,0.0,1.0,Less than 25,Male,African-American,F,1,0,1,High,0.16094746,0.0,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,30.553902,0.0,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,0.00901031494140625,Y,Y,High,High,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Other,M,0,0,0,Medium-Low,37.0,0.0,1.0,1.0,25 - 45,Female,Other,M,0,0,0,Medium-Low,0.095462866,0.23361734,0.012644592,0.102938026,25 - 45,Female,Other,M,0,0,0,25.446104,8.877459,13.365334,82.24748,25 - 45,Female,Other,M,0,0,0,0.00901031494140625,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.06410256410256412,0.10526315789473684,0.000946073793755913,0.0,Less than 25,Male,African-American,F,1,0,1,High,23.0,4.0,1.0,0.0,Less than 25,Male,African-American,F,1,0,1,High,0.2122295,0.0,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,34.5539,0.0,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,0.00901031494140625,Y,Y,High,High,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,0.286249,0.012644596,0.1016865,25 - 45,Male,Caucasian,F,0,0,0,18.0,10.877462,13.365338,81.24751,25 - 45,Male,Caucasian,F,0,0,0,0.00901031494140625,Y,Y,Medium-Low,Medium-Low,High
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.42879623,0.25993308,0.01264459,0.10168645,Greater than 45,Male,Caucasian,F,0,0,0,51.446106,9.877458,13.365332,81.247475,Greater than 45,Male,Caucasian,F,0,0,0,0.00901031494140625,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.4871794871794872,0.0,0.000946073793755913,0.007509386733416772,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,56.0,0.0,1.0,6.0,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,0.3390526,0.23361738,0.012644595,0.109195866,Greater than 45,Male,African-American,F,0,0,0,44.446102,8.8774605,13.365336,87.2475,Greater than 45,Male,African-American,F,0,0,0,0.00901031494140625,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.15384615384615383,0.05263157894736842,0.020813623462630083,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,30.0,2.0,21.999999999999996,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0057192254,0.286249,0.032512147,0.1016865,25 - 45,Male,Caucasian,F,0,0,0,18.4461,10.877462,34.36534,81.24751,25 - 45,Male,Caucasian,F,0,0,0,0.00901031494140625,Y,Y,Medium-Low,Medium-Low,High
0,0.21794871794871792,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,35.0,0.0,1.0,1.0,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,0.069821805,0.2336174,0.0126445955,0.102938056,25 - 45,Female,Hispanic,F,0,0,0,23.4461,8.877461,13.365337,82.247505,25 - 45,Female,Hispanic,F,0,0,0,0.00901031494140625,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.29487179487179493,0.05263157894736842,0.039735099337748346,0.0525657071339174,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,41.0,2.0,42.0,42.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.14674488,0.286249,0.051433623,0.1542522,25 - 45,Male,Caucasian,F,0,0,0,29.4461,10.877462,54.36534,123.247505,25 - 45,Male,Caucasian,F,0,0,0,0.00901031494140625,Y,Y,Medium-Low,Medium-Low,High
0,0.20512820512820515,0.42105263157894735,0.000946073793755913,0.0012515644555694619,25 - 45,Male,Caucasian,F,1,0,1,High,34.0,16.0,1.0,1.0,25 - 45,Male,Caucasian,F,1,0,1,High,0.35325515,0.1874352,0.0,0.0,25 - 45,Male,Caucasian,F,1,0,1,45.5539,7.1225376,0.0,0.0,25 - 45,Male,Caucasian,F,1,0,1,0.00901031494140625,N,N,Medium-Low,High,Medium-Low
0,0.4358974358974359,0.05263157894736842,0.000946073793755913,0.0012515644555694619,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,52.0,2.0,1.0,1.0,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,0.2877705,0.286249,0.012644596,0.10293806,Greater than 45,Female,African-American,F,1,0,1,40.4461,10.877462,13.365338,82.24751,Greater than 45,Female,African-American,F,1,0,1,0.00901031494140625,Y,Y,Medium-Low,Medium-Low,High
0,0.21794871794871792,0.3157894736842105,0.0510879848628193,0.0012515644555694619,25 - 45,Female,African-American,M,0,0,0,Medium-Low,35.0,12.0,54.0,1.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.069821775,0.5494069,0.06278651,0.10293807,25 - 45,Female,African-American,M,0,0,0,23.446098,20.877462,66.36534,82.24752,25 - 45,Female,African-American,M,0,0,0,0.00901031494140625,Y,Y,Medium-Low,Medium-Low,High
