Dataset,Attack,Model,Metric,Value
german,deepfool,lr,groundtruth_attack_success,0.8125
german,deepfool,lr,pred_attack_success,1.0
german,deepfool,lr,original_accuracy,0.8125
german,deepfool,lr,robust_accuracy,0.1875
german,deepfool,svc,groundtruth_attack_success,0.8125
german,deepfool,svc,pred_attack_success,1.0
german,deepfool,svc,original_accuracy,0.8125
german,deepfool,svc,robust_accuracy,0.1875
german,deepfool,nn_2,groundtruth_attack_success,0.78125
german,deepfool,nn_2,pred_attack_success,0.9322916666666666
german,deepfool,nn_2,original_accuracy,0.796875
german,deepfool,nn_2,robust_accuracy,0.21875
german,carlini_l_2,lr,groundtruth_attack_success,0.7239583333333334
german,carlini_l_2,lr,pred_attack_success,0.9114583333333334
german,carlini_l_2,lr,original_accuracy,0.8125
german,carlini_l_2,lr,robust_accuracy,0.2760416666666667
german,carlini_l_2,svc,groundtruth_attack_success,0.18229166666666666
german,carlini_l_2,svc,pred_attack_success,0.005208333333333333
german,carlini_l_2,svc,original_accuracy,0.8125
german,carlini_l_2,svc,robust_accuracy,0.8177083333333334
german,carlini_l_2,nn_2,groundtruth_attack_success,0.6197916666666666
german,carlini_l_2,nn_2,pred_attack_success,0.75
german,carlini_l_2,nn_2,original_accuracy,0.796875
german,carlini_l_2,nn_2,robust_accuracy,0.3802083333333333
german,carlini_l_inf,lr,groundtruth_attack_success,0.19791666666666666
german,carlini_l_inf,lr,pred_attack_success,0.052083333333333336
german,carlini_l_inf,lr,original_accuracy,0.8125
german,carlini_l_inf,lr,robust_accuracy,0.8020833333333334
german,carlini_l_inf,svc,groundtruth_attack_success,0.19270833333333334
german,carlini_l_inf,svc,pred_attack_success,0.046875
german,carlini_l_inf,svc,original_accuracy,0.8125
german,carlini_l_inf,svc,robust_accuracy,0.8072916666666666
german,carlini_l_inf,nn_2,groundtruth_attack_success,0.20833333333333334
german,carlini_l_inf,nn_2,pred_attack_success,0.036458333333333336
german,carlini_l_inf,nn_2,original_accuracy,0.796875
german,carlini_l_inf,nn_2,robust_accuracy,0.7916666666666666
german,fgsm_l_1,lr,groundtruth_attack_success,0.19791666666666666
german,fgsm_l_1,lr,pred_attack_success,0.041666666666666664
german,fgsm_l_1,lr,original_accuracy,0.8125
german,fgsm_l_1,lr,robust_accuracy,0.8020833333333334
german,fgsm_l_1,svc,groundtruth_attack_success,0.1875
german,fgsm_l_1,svc,pred_attack_success,0.052083333333333336
german,fgsm_l_1,svc,original_accuracy,0.8125
german,fgsm_l_1,svc,robust_accuracy,0.8125
german,fgsm_l_1,nn_2,groundtruth_attack_success,0.21354166666666666
german,fgsm_l_1,nn_2,pred_attack_success,0.03125
german,fgsm_l_1,nn_2,original_accuracy,0.796875
german,fgsm_l_1,nn_2,robust_accuracy,0.7864583333333334
german,fgsm_l_2,lr,groundtruth_attack_success,0.2916666666666667
german,fgsm_l_2,lr,pred_attack_success,0.3125
german,fgsm_l_2,lr,original_accuracy,0.8125
german,fgsm_l_2,lr,robust_accuracy,0.7083333333333334
german,fgsm_l_2,svc,groundtruth_attack_success,0.3333333333333333
german,fgsm_l_2,svc,pred_attack_success,0.34375
german,fgsm_l_2,svc,original_accuracy,0.8125
german,fgsm_l_2,svc,robust_accuracy,0.6666666666666666
german,fgsm_l_2,nn_2,groundtruth_attack_success,0.3125
german,fgsm_l_2,nn_2,pred_attack_success,0.296875
german,fgsm_l_2,nn_2,original_accuracy,0.796875
german,fgsm_l_2,nn_2,robust_accuracy,0.6875
german,fgsm_l_inf,lr,groundtruth_attack_success,0.8072916666666666
german,fgsm_l_inf,lr,pred_attack_success,0.9947916666666666
german,fgsm_l_inf,lr,original_accuracy,0.8125
german,fgsm_l_inf,lr,robust_accuracy,0.19270833333333334
german,fgsm_l_inf,svc,groundtruth_attack_success,0.8072916666666666
german,fgsm_l_inf,svc,pred_attack_success,0.9947916666666666
german,fgsm_l_inf,svc,original_accuracy,0.8125
german,fgsm_l_inf,svc,robust_accuracy,0.19270833333333334
german,fgsm_l_inf,nn_2,groundtruth_attack_success,0.765625
german,fgsm_l_inf,nn_2,pred_attack_success,0.9583333333333334
german,fgsm_l_inf,nn_2,original_accuracy,0.796875
german,fgsm_l_inf,nn_2,robust_accuracy,0.234375
german,bim,lr,groundtruth_attack_success,0.8072916666666666
german,bim,lr,pred_attack_success,0.9947916666666666
german,bim,lr,original_accuracy,0.8125
german,bim,lr,robust_accuracy,0.19270833333333334
german,bim,svc,groundtruth_attack_success,0.8072916666666666
german,bim,svc,pred_attack_success,0.9947916666666666
german,bim,svc,original_accuracy,0.8125
german,bim,svc,robust_accuracy,0.19270833333333334
german,bim,nn_2,groundtruth_attack_success,0.7916666666666666
german,bim,nn_2,pred_attack_success,0.9947916666666666
german,bim,nn_2,original_accuracy,0.796875
german,bim,nn_2,robust_accuracy,0.20833333333333334
german,mim,lr,groundtruth_attack_success,0.8072916666666666
german,mim,lr,pred_attack_success,0.9947916666666666
german,mim,lr,original_accuracy,0.8125
german,mim,lr,robust_accuracy,0.19270833333333334
german,mim,svc,groundtruth_attack_success,0.8072916666666666
german,mim,svc,pred_attack_success,0.9947916666666666
german,mim,svc,original_accuracy,0.8125
german,mim,svc,robust_accuracy,0.19270833333333334
german,mim,nn_2,groundtruth_attack_success,0.7864583333333334
german,mim,nn_2,pred_attack_success,0.9895833333333334
german,mim,nn_2,original_accuracy,0.796875
german,mim,nn_2,robust_accuracy,0.21354166666666666
german,pgd_l_1,lr,groundtruth_attack_success,0.19270833333333334
german,pgd_l_1,lr,pred_attack_success,0.06770833333333333
german,pgd_l_1,lr,original_accuracy,0.8125
german,pgd_l_1,lr,robust_accuracy,0.8072916666666666
german,pgd_l_1,svc,groundtruth_attack_success,0.19270833333333334
german,pgd_l_1,svc,pred_attack_success,0.078125
german,pgd_l_1,svc,original_accuracy,0.8125
german,pgd_l_1,svc,robust_accuracy,0.8072916666666666
german,pgd_l_1,nn_2,groundtruth_attack_success,0.21875
german,pgd_l_1,nn_2,pred_attack_success,0.09895833333333333
german,pgd_l_1,nn_2,original_accuracy,0.796875
german,pgd_l_1,nn_2,robust_accuracy,0.78125
german,pgd_l_2,lr,groundtruth_attack_success,0.359375
german,pgd_l_2,lr,pred_attack_success,0.4010416666666667
german,pgd_l_2,lr,original_accuracy,0.8125
german,pgd_l_2,lr,robust_accuracy,0.640625
german,pgd_l_2,svc,groundtruth_attack_success,0.3958333333333333
german,pgd_l_2,svc,pred_attack_success,0.4375
german,pgd_l_2,svc,original_accuracy,0.8125
german,pgd_l_2,svc,robust_accuracy,0.6041666666666666
german,pgd_l_2,nn_2,groundtruth_attack_success,0.390625
german,pgd_l_2,nn_2,pred_attack_success,0.3854166666666667
german,pgd_l_2,nn_2,original_accuracy,0.796875
german,pgd_l_2,nn_2,robust_accuracy,0.609375
german,pgd_l_inf,lr,groundtruth_attack_success,0.8072916666666666
german,pgd_l_inf,lr,pred_attack_success,0.9947916666666666
german,pgd_l_inf,lr,original_accuracy,0.8125
german,pgd_l_inf,lr,robust_accuracy,0.19270833333333334
german,pgd_l_inf,svc,groundtruth_attack_success,0.8072916666666666
german,pgd_l_inf,svc,pred_attack_success,0.9947916666666666
german,pgd_l_inf,svc,original_accuracy,0.8125
german,pgd_l_inf,svc,robust_accuracy,0.19270833333333334
german,pgd_l_inf,nn_2,groundtruth_attack_success,0.7864583333333334
german,pgd_l_inf,nn_2,pred_attack_success,0.9895833333333334
german,pgd_l_inf,nn_2,original_accuracy,0.796875
german,pgd_l_inf,nn_2,robust_accuracy,0.21354166666666666
