,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.136986301369863,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,27.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,0.136335,0.086845815,0.00015507301,0.37651062,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,26.952454,8684.495,0.675498,37.89804,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,677.7743389606476,Y,Y,<=50K,<=50K,>50K
0,0.3835616438356165,0.0,0.0,0.39795918367346933,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,45.00000000000001,0.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,0.38459504,0.05746464,0.00040055887,0.3974347,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,45.07544,5746.4067,1.7448344,39.9486,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,677.7743389606476,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.5510204081632653,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,29.0,0.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,0.19120705,9.2630326e-05,0.0,0.5084833,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,30.958115,9.262939,0.0,50.831364,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,677.7743389606476,Y,Y,>50K,>50K,<=50K
0,0.1780821917808219,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,30.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,0.19403726,0.7582522,0.000447192,0.39338768,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,31.16472,75824.46,1.9479684,39.55199,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,677.7743389606476,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.022020220202202023,0.0,0.5,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,29.0,2202.0,0.0,50.00000000000001,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,0.16466756,0.050382365,0.00028148346,0.49970907,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,29.020731,5038.186,1.2261419,49.97149,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,677.7743389606476,Y,Y,<=50K,<=50K,>50K
0,0.46575342465753417,0.0,0.0,0.4693877551020408,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.99999999999999,0.0,0.0,47.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.46557063,0.012573503,6.729045e-05,0.4692038,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,50.986656,1257.3378,0.2931172,46.98197,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,677.7743389606476,Y,Y,>50K,>50K,<=50K
0,0.5616438356164384,0.15024150241502415,0.0,0.6020408163265305,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,58.00000000000001,15024.0,0.0,59.99999999999999,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.6289054,0.2783902,0.0017655637,0.61741734,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,62.910095,27838.742,7.6907954,61.506897,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,677.7743389606476,Y,Y,>50K,>50K,<=50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,0.07891206,0.75816095,0.0071017686,0.40581244,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,22.76058,75815.336,30.935305,40.76962,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,677.7743389606476,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.0,0.0,0.39795918367346933,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,50.0,0.0,0.0,40.0,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,0.4512404,0.7580902,0.0024299629,0.38999915,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,49.940548,75808.26,10.584918,39.219917,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,677.7743389606476,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.03103031030310303,0.0,0.39795918367346933,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K,50.0,3103.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K,0.45205638,0.031222565,9.788348e-07,0.39795715,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,50.000114,3122.2253,0.0042638043,39.9998,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,677.7743389606476,Y,Y,>50K,>50K,<=50K
