,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.136986301369863,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,27.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,0.1424607,0.13419455,0.012206286,0.394149,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,27.399632,13419.321,53.17058,39.626602,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,947.1776762008667,Y,Y,<=50K,<=50K,>50K
0,0.3835616438356165,0.0,0.0,0.39795918367346933,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,45.00000000000001,0.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,0.38396314,0.007776837,0.00084357196,0.39865503,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,45.02931,777.6759,3.6745994,40.06819,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,947.1776762008667,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.5510204081632653,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,29.0,0.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,0.15181991,0.0,0.0,0.5255433,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,28.082853,0.0,0.0,52.50324,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,947.1776762008667,Y,Y,>50K,>50K,<=50K
0,0.1780821917808219,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,30.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,0.1847171,0.12612024,0.010519656,0.41321313,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,30.484348,12611.897,45.823624,41.49489,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,947.1776762008667,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.022020220202202023,0.0,0.5,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,29.0,2202.0,0.0,50.00000000000001,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,0.16930954,0.11242903,0.010121092,0.50906456,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,29.359596,11242.791,44.08748,50.888325,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,947.1776762008667,Y,Y,<=50K,<=50K,>50K
0,0.46575342465753417,0.0,0.0,0.4693877551020408,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.99999999999999,0.0,0.0,47.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.454336,0.0,0.0,0.44092885,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,50.166527,0.0,0.0,44.211025,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,947.1776762008667,Y,Y,>50K,>50K,<=50K
0,0.5616438356164384,0.15024150241502415,0.0,0.6020408163265305,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,58.00000000000001,15024.0,0.0,59.99999999999999,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.5529283,0.002641257,0.0,0.5864913,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,57.36377,264.12305,0.0,58.476147,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,947.1776762008667,Y,Y,>50K,>50K,<=50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,0.07847528,0.18267825,0.023701943,0.42075673,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,22.728695,18267.643,103.24567,42.234158,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,947.1776762008667,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.0,0.0,0.39795918367346933,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,50.0,0.0,0.0,40.0,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,0.45661786,0.09480428,0.009137709,0.4062261,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,50.333103,9480.333,39.80386,40.810158,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,947.1776762008667,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.03103031030310303,0.0,0.39795918367346933,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,50.0,3103.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,0.45288253,0.04088058,0.0009236483,0.3991352,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,50.060425,4088.017,4.023412,40.11525,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,947.1776762008667,N,N,>50K,<=50K,>50K
