,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5641025641025641,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,62.0,0.0,0.0,1.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.5602437,0.2698811,0.022960544,0.0015927249,Greater than 45,Male,Caucasian,F,0,0,0,61.69901,10.255482,24.269295,1.2725872,Greater than 45,Male,Caucasian,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.12820512820512822,0.02631578947368421,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,M,0,0,0,High,28.0,1.0,1.0,1.0,25 - 45,Male,African-American,M,0,0,0,High,0.12820536,0.026313536,0.0009413492,0.001963305,25 - 45,Male,African-American,M,0,0,0,28.000017,0.99991435,0.9950061,1.5686808,25 - 45,Male,African-American,M,0,0,0,94.90023803710938,N,N,Medium-Low,High,Medium-Low
0,0.5,0.21052631578947367,0.0,0.0012515644555694619,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,57.0,8.0,0.0,1.0,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,0.49910742,0.21052334,0.0,0.07608208,Greater than 45,Male,African-American,M,1,0,1,56.930378,7.999887,0.0,60.78958,Greater than 45,Male,African-American,M,1,0,1,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.01282051282051283,0.02631578947368421,0.0,0.0012515644555694619,Less than 25,Male,African-American,F,1,0,1,High,19.0,1.0,0.0,1.0,Less than 25,Male,African-American,F,1,0,1,High,0.012810199,0.026283916,0.0016175625,0.0012513382,Less than 25,Male,African-American,F,1,0,1,18.999195,0.99878883,1.7097635,0.9998192,Less than 25,Male,African-American,F,1,0,1,94.90023803710938,Y,Y,High,High,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Other,M,0,0,0,Medium-Low,37.0,0.0,1.0,1.0,25 - 45,Female,Other,M,0,0,0,Medium-Low,0.25305656,0.31796572,0.110128045,0.0,25 - 45,Female,Other,M,0,0,0,37.73841,12.082697,116.40534,0.0,25 - 45,Female,Other,M,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.06410256410256412,0.10526315789473684,0.000946073793755913,0.0,Less than 25,Male,African-American,F,1,0,1,High,23.0,4.0,1.0,0.0,Less than 25,Male,African-American,F,1,0,1,High,0.071402095,0.10513592,0.00091498776,2.0093483e-05,Less than 25,Male,African-American,F,1,0,1,23.569363,3.9951649,0.96714205,0.016054694,Less than 25,Male,African-American,F,1,0,1,94.90023803710938,Y,Y,High,High,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.10252998,0.06765697,0.000781157,0.0010874865,25 - 45,Male,Caucasian,F,0,0,0,25.99734,2.5709648,0.82568294,0.8689017,25 - 45,Male,Caucasian,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.5739478,0.13107052,0.0,0.0002540869,Greater than 45,Male,Caucasian,F,0,0,0,62.767925,4.98068,0.0,0.20301542,Greater than 45,Male,Caucasian,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.4871794871794872,0.0,0.000946073793755913,0.007509386733416772,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,56.0,0.0,1.0,6.0,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,0.48779294,0.10538369,0.0015914742,0.027221583,Greater than 45,Male,African-American,F,0,0,0,56.04785,4.00458,1.6821882,21.750044,Greater than 45,Male,African-American,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.05263157894736842,0.020813623462630083,0.0,25 - 45,Male,Caucasian,F,0,0,0,High,30.0,2.0,21.999999999999996,0.0,25 - 45,Male,Caucasian,F,0,0,0,High,0.15385583,0.05263341,0.020807965,0.0007132257,25 - 45,Male,Caucasian,F,0,0,0,30.000753,2.0000696,21.994019,0.5698673,25 - 45,Male,Caucasian,F,0,0,0,94.90023803710938,N,N,Medium-Low,High,Medium-Low
0,0.21794871794871792,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,35.0,0.0,1.0,1.0,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,0.21763447,0.015426269,0.0023513448,0.024131471,25 - 45,Female,Hispanic,F,0,0,0,34.975487,0.5861982,2.4853714,19.281046,25 - 45,Female,Hispanic,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.29487179487179493,0.05263157894736842,0.039735099337748346,0.0525657071339174,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,41.0,2.0,42.0,42.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.29388547,0.18751897,0.039932832,0.05468856,25 - 45,Male,Caucasian,F,0,0,0,40.923065,7.125721,42.209003,43.69616,25 - 45,Male,Caucasian,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.20512820512820515,0.42105263157894735,0.000946073793755913,0.0012515644555694619,25 - 45,Male,Caucasian,F,1,0,1,High,34.0,16.0,1.0,1.0,25 - 45,Male,Caucasian,F,1,0,1,High,0.30014306,0.42122933,0.0006069605,0.0026291006,25 - 45,Male,Caucasian,F,1,0,1,41.41116,16.006714,0.6415573,2.1006513,25 - 45,Male,Caucasian,F,1,0,1,94.90023803710938,N,N,Medium-Low,High,Medium-Low
0,0.4358974358974359,0.05263157894736842,0.000946073793755913,0.0012515644555694619,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,52.0,2.0,1.0,1.0,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,0.43587637,0.052596055,0.0010640704,0.011226455,Greater than 45,Female,African-American,F,1,0,1,51.998356,1.9986501,1.1247224,8.969937,Greater than 45,Female,African-American,F,1,0,1,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.21794871794871792,0.3157894736842105,0.0510879848628193,0.0012515644555694619,25 - 45,Female,African-American,M,0,0,0,Medium-Low,35.0,12.0,54.0,1.0,25 - 45,Female,African-American,M,0,0,0,Medium-Low,0.21844776,0.31536588,0.07538232,0.0015709952,25 - 45,Female,African-American,M,0,0,0,35.038925,11.983904,79.679115,1.2552252,25 - 45,Female,African-American,M,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.07894736842105263,0.0,0.4042553191489362,Less than 25,Male,African-American,F,0,0,0,High,22.0,3.0,0.0,323.0,Less than 25,Male,African-American,F,0,0,0,High,0.2773715,0.080466166,0.0059790025,0.40800744,Less than 25,Male,African-American,F,0,0,0,39.63498,3.0577142,6.3198056,325.99796,Less than 25,Male,African-American,F,0,0,0,94.90023803710938,Y,Y,High,High,Medium-Low
0,0.11538461538461539,0.5526315789473684,0.0,0.04380475594493116,25 - 45,Male,African-American,F,1,0,1,High,27.0,21.0,0.0,35.0,25 - 45,Male,African-American,F,1,0,1,High,0.2870483,0.55369115,0.00054984435,0.046247296,25 - 45,Male,African-American,F,1,0,1,40.38977,21.040264,0.58118546,36.951588,25 - 45,Male,African-American,F,1,0,1,94.90023803710938,Y,Y,High,High,Medium-Low
0,0.11538461538461539,0.02631578947368421,0.04068117313150426,0.023779724655819776,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,27.0,1.0,43.0,19.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,0.1150026,0.07133335,0.040569257,0.024092732,25 - 45,Male,Caucasian,F,1,1,1,26.970201,2.7106671,42.881706,19.250093,25 - 45,Male,Caucasian,F,1,1,1,94.90023803710938,N,N,High,Medium-Low,High
0,0.11538461538461539,0.3421052631578947,0.000946073793755913,0.0,25 - 45,Male,African-American,F,1,0,1,High,27.0,12.999999999999998,1.0,0.0,25 - 45,Male,African-American,F,1,0,1,High,0.11532131,0.34198773,0.017685473,5.347994e-05,25 - 45,Male,African-American,F,1,0,1,26.995062,12.995534,18.693544,0.042730473,25 - 45,Male,African-American,F,1,0,1,94.90023803710938,Y,Y,High,High,Medium-Low
0,0.06410256410256412,0.0,0.0,0.0,Less than 25,Female,African-American,M,0,0,0,High,23.0,0.0,0.0,0.0,Less than 25,Female,African-American,M,0,0,0,High,0.064113535,1.22874135e-05,0.00053946045,0.0,Less than 25,Female,African-American,M,0,0,0,23.000856,0.00046692172,0.5702097,0.0,Less than 25,Female,African-American,M,0,0,0,94.90023803710938,N,N,Medium-Low,High,Medium-Low
0,0.038461538461538464,0.02631578947368421,0.12488174077578051,0.0012515644555694619,Less than 25,Female,Caucasian,F,1,0,0,Medium-Low,21.0,1.0,132.0,1.0,Less than 25,Female,Caucasian,F,1,0,0,Medium-Low,0.039260067,0.02650391,0.12522398,0.04729664,Less than 25,Female,Caucasian,F,1,0,0,21.062286,1.0071485,132.36174,37.790016,Less than 25,Female,Caucasian,F,1,0,0,94.90023803710938,N,N,High,Medium-Low,High
0,0.3076923076923077,0.0,0.000946073793755913,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,42.0,0.0,1.0,0.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.30687433,0.1977333,0.0,0.086988844,25 - 45,Male,African-American,F,0,0,0,41.936195,7.5138655,0.0,69.50409,25 - 45,Male,African-American,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.19230769230769232,0.10526315789473684,0.000946073793755913,0.02127659574468085,25 - 45,Male,African-American,M,1,0,1,High,33.0,4.0,1.0,17.0,25 - 45,Male,African-American,M,1,0,1,High,0.19240302,0.1052746,0.0009065447,0.024841912,25 - 45,Male,African-American,M,1,0,1,33.007435,4.000435,0.95821774,19.848688,25 - 45,Male,African-American,M,1,0,1,94.90023803710938,Y,Y,High,High,Medium-Low
0,0.46153846153846156,0.05263157894736842,0.000946073793755913,0.23529411764705882,Greater than 45,Male,Hispanic,F,0,0,0,Medium-Low,54.0,2.0,1.0,188.0,Greater than 45,Male,Hispanic,F,0,0,0,Medium-Low,0.46547624,0.788435,0.0018182427,0.23389673,Greater than 45,Male,Hispanic,F,0,0,0,54.307148,29.96053,1.9218825,186.88348,Greater than 45,Male,Hispanic,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.038461538461538464,0.02631578947368421,0.000946073793755913,0.0,Less than 25,Male,Caucasian,F,0,0,0,Medium-Low,21.0,1.0,1.0,0.0,Less than 25,Male,Caucasian,F,0,0,0,Medium-Low,0.03778689,0.07133626,0.00051171903,0.0,Less than 25,Male,Caucasian,F,0,0,0,20.947376,2.710778,0.540887,0.0,Less than 25,Male,Caucasian,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.3846153846153847,0.02631578947368421,0.0293282876064333,0.0,Greater than 45,Male,Caucasian,M,0,0,0,Medium-Low,48.00000000000001,1.0,31.0,0.0,Greater than 45,Male,Caucasian,M,0,0,0,Medium-Low,0.3898648,0.26647595,0.032359745,0.00066221587,Greater than 45,Male,Caucasian,M,0,0,0,48.409454,10.126086,34.20425,0.5291105,Greater than 45,Male,Caucasian,M,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.12820512820512822,0.0,0.000946073793755913,0.0,25 - 45,Male,Caucasian,M,1,0,1,Medium-Low,28.0,0.0,1.0,0.0,25 - 45,Male,Caucasian,M,1,0,1,Medium-Low,0.12810783,0.00011465562,0.0010977464,0.028474465,25 - 45,Male,Caucasian,M,1,0,1,27.99241,0.0043569133,1.160318,22.751097,25 - 45,Male,Caucasian,M,1,0,1,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.051282051282051294,0.0,0.000946073793755913,0.0012515644555694619,Less than 25,Male,African-American,F,0,0,0,Medium-Low,22.0,0.0,1.0,1.0,Less than 25,Male,African-American,F,0,0,0,Medium-Low,0.051337864,6.9234986e-05,0.007957425,0.0013753247,Less than 25,Male,African-American,F,0,0,0,22.004353,0.0026309295,8.410998,1.0988845,Less than 25,Male,African-American,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.14102564102564105,0.13157894736842105,0.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,29.000000000000004,5.0,0.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.14098378,0.13153675,5.6033605e-05,0.004993041,25 - 45,Male,Caucasian,F,0,0,0,28.996735,4.9983964,0.05922752,3.9894397,25 - 45,Male,Caucasian,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.08974358974358973,0.0,0.000946073793755913,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,25.0,0.0,1.0,0.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.0897513,0.0,0.00795196,8.610102e-05,25 - 45,Male,African-American,M,0,0,0,25.0006,0.0,8.405222,0.06879471,25 - 45,Male,African-American,M,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.3684210526315789,0.07473982970671712,0.0688360450563204,25 - 45,Male,Hispanic,F,1,1,1,High,30.0,14.0,79.0,55.0,25 - 45,Male,Hispanic,F,1,1,1,High,0.3072013,0.3679688,0.07623518,0.07206856,25 - 45,Male,Hispanic,F,1,1,1,41.9617,13.982815,80.58059,57.58278,25 - 45,Male,Hispanic,F,1,1,1,94.90023803710938,N,N,Medium-Low,High,Medium-Low
0,0.5256410256410257,0.0,0.001892147587511826,0.0,Greater than 45,Female,Caucasian,M,0,0,0,Medium-Low,59.0,0.0,2.0,0.0,Greater than 45,Female,Caucasian,M,0,0,0,Medium-Low,0.43621132,0.107504115,0.0033268358,0.04522827,Greater than 45,Female,Caucasian,M,0,0,0,52.024483,4.0851564,3.5164654,36.137386,Greater than 45,Female,Caucasian,M,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.02631578947368421,0.9839167455061495,0.02127659574468085,25 - 45,Male,African-American,F,1,0,0,Medium-Low,30.0,1.0,1040.0,17.0,25 - 45,Male,African-American,F,1,0,0,Medium-Low,0.15424898,0.07124174,0.9840767,0.02133861,25 - 45,Male,African-American,F,1,0,0,30.03142,2.707186,1040.1691,17.04955,25 - 45,Male,African-American,F,1,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.6538461538461539,0.0,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,69.0,0.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.6512869,0.27027684,0.027968105,0.0046385834,Greater than 45,Male,Caucasian,F,0,0,0,68.80038,10.27052,29.562286,3.706228,Greater than 45,Male,Caucasian,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.07894736842105263,0.000946073793755913,0.0025031289111389237,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,30.0,3.0,1.0,2.0,25 - 45,Male,Hispanic,M,1,0,1,Medium-Low,0.15382507,0.07856498,0.0008809221,0.022471154,25 - 45,Male,Hispanic,M,1,0,1,29.998354,2.985469,0.93113464,17.954453,25 - 45,Male,Hispanic,M,1,0,1,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.3717948717948718,0.5789473684210527,0.000946073793755913,0.0012515644555694619,Greater than 45,Male,African-American,F,1,0,1,High,47.0,22.000000000000004,1.0,1.0,Greater than 45,Male,African-American,F,1,0,1,High,0.37178385,0.5790588,0.0008674542,0.06695422,Greater than 45,Male,African-American,F,1,0,1,46.999138,22.004236,0.9168991,53.49642,Greater than 45,Male,African-American,F,1,0,1,94.90023803710938,Y,Y,High,High,Medium-Low
0,0.1794871794871795,0.3684210526315789,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,F,1,0,1,High,32.0,14.0,1.0,1.0,25 - 45,Male,African-American,F,1,0,1,High,0.17955588,0.36830285,0.017649934,0.0013707372,25 - 45,Male,African-American,F,1,0,1,32.00536,13.995508,18.65598,1.095219,25 - 45,Male,African-American,F,1,0,1,94.90023803710938,Y,Y,High,High,Medium-Low
0,0.21794871794871792,0.07894736842105263,0.0,0.0012515644555694619,25 - 45,Male,Caucasian,F,0,0,0,High,35.0,3.0,0.0,1.0,25 - 45,Male,Caucasian,F,0,0,0,High,0.21794742,0.078935005,0.0005376407,0.0012654162,25 - 45,Male,Caucasian,F,0,0,0,34.999897,2.99953,0.56828624,1.0110675,25 - 45,Male,Caucasian,F,0,0,0,94.90023803710938,N,N,Medium-Low,High,Medium-Low
0,0.08974358974358973,0.13157894736842105,0.000946073793755913,0.017521902377972465,25 - 45,Male,Caucasian,M,1,1,1,High,25.0,5.0,1.0,13.999999999999998,25 - 45,Male,Caucasian,M,1,1,1,High,0.110228136,0.13166112,0.0012457024,0.04086483,25 - 45,Male,Caucasian,M,1,1,1,26.597795,5.0031223,1.3167074,32.650997,25 - 45,Male,Caucasian,M,1,1,1,94.90023803710938,Y,Y,High,High,Medium-Low
0,0.051282051282051294,0.0,0.001892147587511826,0.0012515644555694619,Less than 25,Female,Caucasian,F,1,0,1,Medium-Low,22.0,0.0,2.0,1.0,Less than 25,Female,Caucasian,F,1,0,1,Medium-Low,0.043624576,5.5412165e-05,0.0020024192,0.007269918,Less than 25,Female,Caucasian,F,1,0,1,21.402716,0.0021056624,2.1165571,5.8086643,Less than 25,Female,Caucasian,F,1,0,1,94.90023803710938,N,N,High,Medium-Low,High
0,0.23076923076923075,0.02631578947368421,0.0,0.0012515644555694619,25 - 45,Female,Hispanic,M,0,0,0,Medium-Low,36.0,1.0,0.0,1.0,25 - 45,Female,Hispanic,M,0,0,0,Medium-Low,0.255307,0.02174474,0.005641915,0.26608795,25 - 45,Female,Hispanic,M,0,0,0,37.913944,0.8263001,5.963504,212.60428,25 - 45,Female,Hispanic,M,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.34615384615384615,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Hispanic,F,0,0,0,Medium-Low,45.0,0.0,0.0,1.0,Greater than 45,Male,Hispanic,F,0,0,0,Medium-Low,0.3462306,0.1349039,0.0,0.00046045388,Greater than 45,Male,Hispanic,F,0,0,0,45.00599,5.126348,0.0,0.36790267,Greater than 45,Male,Hispanic,F,0,0,0,94.90023803710938,Y,Y,Medium-Low,Medium-Low,High
0,0.21794871794871792,0.13157894736842105,0.000946073793755913,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,35.0,5.0,1.0,0.0,25 - 45,Male,Hispanic,F,0,0,0,Medium-Low,0.30227184,0.18764734,0.0014504065,0.07442022,25 - 45,Male,Hispanic,F,0,0,0,41.5772,7.130599,1.5330796,59.461758,25 - 45,Male,Hispanic,F,0,0,0,94.90023803710938,N,N,High,Medium-Low,High
0,0.2692307692307693,0.10526315789473684,0.000946073793755913,0.1476846057571965,25 - 45,Male,African-American,F,0,0,0,Medium-Low,39.0,4.0,1.0,118.0,25 - 45,Male,African-American,F,0,0,0,Medium-Low,0.29472893,0.1807716,0.00079864846,0.14714764,25 - 45,Male,African-American,F,0,0,0,40.988857,6.869321,0.8441714,117.57097,25 - 45,Male,African-American,F,0,0,0,94.90023803710938,N,N,High,Medium-Low,High
