,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5641025641025641,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,62.0,0.0,0.0,1.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.2374527,0.42296675,0.0,0.23966552,Greater than 45,Male,Caucasian,F,0,0,0,36.52131,16.072737,0.0,191.49275,Greater than 45,Male,Caucasian,F,0,0,0,1497.3127400875092,Y,Y,Medium-Low,Medium-Low,High
0,0.12820512820512822,0.02631578947368421,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,M,0,0,0,Medium-Low,28.0,1.0,1.0,1.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.07308562,0.12654078,0.004826918,0.062197,25 - 45,Male,African-American,M,0,0,0,23.700678,4.80855,5.102052,49.695404,25 - 45,Male,African-American,M,0,0,0,1497.3127400875092,Y,Y,Medium-Low,Medium-Low,High
0,0.5,0.21052631578947367,0.0,0.0012515644555694619,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,57.0,8.0,0.0,1.0,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,0.3912549,0.36456993,0.015046761,0.08983544,Greater than 45,Male,African-American,M,1,0,1,48.51788,13.853658,15.904427,71.77852,Greater than 45,Male,African-American,M,1,0,1,1497.3127400875092,Y,Y,Medium-Low,Medium-Low,High
0,0.01282051282051283,0.02631578947368421,0.0,0.0012515644555694619,Less than 25,Male,African-American,F,1,0,1,High,19.0,1.0,0.0,1.0,Less than 25,Male,African-American,F,1,0,1,High,0.014970049,0.022468723,1.9238327e-05,0.0,Less than 25,Male,African-American,F,1,0,1,19.167664,0.8538115,0.02033491,0.0,Less than 25,Male,African-American,F,1,0,1,1497.3127400875092,Y,Y,High,High,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Other,M,0,0,0,Medium-Low,37.0,0.0,1.0,1.0,25 - 45,Female,Other,M,0,0,0,Medium-Low,0.12132711,0.22917326,0.022888321,0.14957511,25 - 45,Female,Other,M,0,0,0,27.463514,8.708584,24.192955,119.51051,25 - 45,Female,Other,M,0,0,0,1497.3127400875092,Y,Y,Medium-Low,Medium-Low,High
0,0.06410256410256412,0.10526315789473684,0.000946073793755913,0.0,Less than 25,Male,African-American,F,1,0,1,High,23.0,4.0,1.0,0.0,Less than 25,Male,African-American,F,1,0,1,High,0.08954288,0.061638046,0.00059943186,0.0,Less than 25,Male,African-American,F,1,0,1,24.984344,2.3422458,0.63359946,0.0,Less than 25,Male,African-American,F,1,0,1,1497.3127400875092,Y,Y,High,High,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.009976385,0.20525368,0.008708062,0.08804594,25 - 45,Male,Caucasian,F,0,0,0,18.778158,7.7996397,9.204421,70.34871,25 - 45,Male,Caucasian,F,0,0,0,1497.3127400875092,Y,Y,Medium-Low,Medium-Low,High
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.2432936,0.43548745,0.0062801084,0.22955851,Greater than 45,Male,Caucasian,F,0,0,0,36.976902,16.548523,6.6380744,183.41725,Greater than 45,Male,Caucasian,F,0,0,0,1497.3127400875092,Y,Y,Medium-Low,Medium-Low,High
0,0.4871794871794872,0.0,0.000946073793755913,0.007509386733416772,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,56.0,0.0,1.0,6.0,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,0.25805527,0.3158314,0.0013238783,0.09548548,Greater than 45,Male,African-American,F,0,0,0,38.12831,12.001593,1.3993393,76.2929,Greater than 45,Male,African-American,F,0,0,0,1497.3127400875092,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.05263157894736842,0.020813623462630083,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,30.0,2.0,21.999999999999996,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.048203975,0.22430617,0.028176455,0.096659526,25 - 45,Male,Caucasian,F,0,0,0,21.759909,8.523634,29.782513,77.230965,25 - 45,Male,Caucasian,F,0,0,0,1497.3127400875092,Y,Y,Medium-Low,Medium-Low,High
0,0.21794871794871792,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,35.0,0.0,1.0,1.0,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,0.08530963,0.25968555,0.001297574,0.113346435,25 - 45,Female,Hispanic,F,0,0,0,24.654152,9.868051,1.3715358,90.563805,25 - 45,Female,Hispanic,F,0,0,0,1497.3127400875092,Y,Y,Medium-Low,Medium-Low,High
0,0.29487179487179493,0.05263157894736842,0.039735099337748346,0.0525657071339174,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,41.0,2.0,42.0,42.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.15944266,0.26165688,0.049878422,0.15901624,25 - 45,Male,Caucasian,F,0,0,0,30.436527,9.942962,52.721493,127.05397,25 - 45,Male,Caucasian,F,0,0,0,1497.3127400875092,Y,Y,Medium-Low,Medium-Low,High
0,0.20512820512820515,0.42105263157894735,0.000946073793755913,0.0012515644555694619,25 - 45,Male,Caucasian,F,1,0,1,High,34.0,16.0,1.0,1.0,25 - 45,Male,Caucasian,F,1,0,1,High,0.2996448,0.2827491,0.0,0.0,25 - 45,Male,Caucasian,F,1,0,1,41.372295,10.744465,0.0,0.0,25 - 45,Male,Caucasian,F,1,0,1,1497.3127400875092,N,N,Medium-Low,High,Medium-Low
0,0.4358974358974359,0.05263157894736842,0.000946073793755913,0.0012515644555694619,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,52.0,2.0,1.0,1.0,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,0.31543368,0.25552168,0.0,0.057903416,Greater than 45,Female,African-American,F,1,0,1,42.603825,9.709824,0.0,46.26483,Greater than 45,Female,African-American,F,1,0,1,1497.3127400875092,Y,Y,Medium-Low,Medium-Low,High
0,0.21794871794871792,0.3157894736842105,0.0510879848628193,0.0012515644555694619,25 - 45,Female,African-American,M,0,0,0,High,35.0,12.0,54.0,1.0,25 - 45,Female,African-American,M,0,0,0,High,0.25425074,0.25281513,0.050401986,0.0,25 - 45,Female,African-American,M,0,0,0,37.831554,9.606975,53.2749,0.0,25 - 45,Female,African-American,M,0,0,0,1497.3127400875092,N,N,Medium-Low,High,Medium-Low
0,0.051282051282051294,0.07894736842105263,0.0,0.4042553191489362,Less than 25,Male,African-American,F,0,0,0,High,22.0,3.0,0.0,323.0,Less than 25,Male,African-American,F,0,0,0,High,0.11717761,0.0,0.0045976182,0.3715744,Less than 25,Male,African-American,F,0,0,0,27.139854,0.0,4.8596826,296.88794,Less than 25,Male,African-American,F,0,0,0,1497.3127400875092,Y,Y,High,High,Medium-Low
0,0.11538461538461539,0.5526315789473684,0.0,0.04380475594493116,25 - 45,Male,African-American,F,1,0,1,High,27.0,21.0,0.0,35.0,25 - 45,Male,African-American,F,1,0,1,High,0.33040488,0.25515604,0.0013488964,0.0,25 - 45,Male,African-American,F,1,0,1,43.77158,9.69593,1.4257835,0.0,25 - 45,Male,African-American,F,1,0,1,1497.3127400875092,Y,Y,High,High,Medium-Low
