,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.136986301369863,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,27.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,0.18509126,0.08074339,0.019669551,0.38164923,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,30.511662,8074.258,85.680565,38.401623,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,1278.41667842865,Y,Y,<=50K,<=50K,>50K
0,0.3835616438356165,0.0,0.0,0.39795918367346933,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K,45.00000000000001,0.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K,0.39625242,0.035614267,0.02054764,0.3881619,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,45.926426,3561.391,89.505516,39.039864,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,1278.41667842865,N,N,<=50K,>50K,<=50K
0,0.1643835616438356,0.0,0.0,0.5510204081632653,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,29.0,0.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,0.14092888,0.011903136,0.009056995,0.5401367,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,27.287807,1190.3018,39.45227,53.933395,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,1278.41667842865,Y,Y,>50K,>50K,<=50K
0,0.1780821917808219,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,30.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,0.25722778,0.0807447,0.055379443,0.41176182,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,35.77763,8074.389,241.23285,41.352657,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,1278.41667842865,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.022020220202202023,0.0,0.5,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,29.0,2202.0,0.0,50.00000000000001,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,0.20592278,0.0776261,0.027327392,0.5338795,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,32.032364,7762.5327,119.038124,53.320194,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,1278.41667842865,Y,Y,<=50K,<=50K,>50K
0,0.46575342465753417,0.0,0.0,0.4693877551020408,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.99999999999999,0.0,0.0,47.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.46040124,0.04068427,0.05092251,0.37222892,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,50.60929,4068.3865,221.81845,37.478436,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1278.41667842865,Y,Y,>50K,>50K,<=50K
0,0.5616438356164384,0.15024150241502415,0.0,0.6020408163265305,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,58.00000000000001,15024.0,0.0,59.99999999999999,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.5822488,0.036913015,0.04705958,0.5647944,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,59.50416,3691.2646,204.99153,56.349854,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1278.41667842865,Y,Y,>50K,>50K,<=50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,0.13912742,0.080739394,0.050627157,0.39523882,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,27.156301,8073.859,220.53189,39.733402,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,1278.41667842865,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.0,0.0,0.39795918367346933,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,50.0,0.0,0.0,40.0,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,0.4089016,0.08074111,0.039606348,0.37179607,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,46.849815,8074.03,172.52525,37.436016,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,1278.41667842865,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.03103031030310303,0.0,0.39795918367346933,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,50.0,3103.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,0.4545949,0.053773772,0.014493187,0.39608115,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,50.18543,5377.323,63.132324,39.815952,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1278.41667842865,N,N,>50K,<=50K,>50K
