,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.136986301369863,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,27.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,0.22958894,0.09260265,0.09260265,0.4701537,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,33.75999,9260.172,403.37714,47.07506,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,864.737536907196,Y,Y,<=50K,<=50K,>50K
0,0.3835616438356165,0.0,0.0,0.39795918367346933,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,45.00000000000001,0.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,0.38484076,0.0012791224,0.0012791224,0.3992383,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,45.093372,127.910965,5.5718575,40.12535,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,864.737536907196,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.5510204081632653,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,29.0,0.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,0.14038381,0.0,0.0,0.52702063,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,27.248018,0.0,0.0,52.64802,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,864.737536907196,Y,Y,>50K,>50K,<=50K
0,0.1780821917808219,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,30.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,0.26529646,0.087214254,0.087214254,0.4851734,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,36.366642,8721.338,379.9053,48.546993,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,864.737536907196,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.022020220202202023,0.0,0.5,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,29.0,2202.0,0.0,50.00000000000001,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,0.22675385,0.084390506,0.06237028,0.56237024,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,33.553032,8438.966,271.68494,56.11228,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,864.737536907196,Y,Y,<=50K,<=50K,>50K
0,0.46575342465753417,0.0,0.0,0.4693877551020408,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.99999999999999,0.0,0.0,47.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.43406183,0.0,0.0,0.43769616,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,48.686512,0.0,0.0,43.894222,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,864.737536907196,Y,Y,>50K,>50K,<=50K
0,0.5616438356164384,0.15024150241502415,0.0,0.6020408163265305,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,58.00000000000001,15024.0,0.0,59.99999999999999,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.5026091,0.09120677,0.0,0.54300606,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,53.690464,9120.586,0.0,54.214592,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,864.737536907196,Y,Y,>50K,>50K,<=50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,0.19467056,0.1261774,0.1261774,0.52413654,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,31.21095,12617.614,549.6288,52.36538,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,864.737536907196,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.0,0.0,0.39795918367346933,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,50.0,0.0,0.0,40.0,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,0.5159195,0.06386466,0.06386466,0.46182382,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,54.662125,6386.4023,278.19446,46.258736,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,864.737536907196,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.03103031030310303,0.0,0.39795918367346933,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,50.0,3103.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,0.45936865,0.04075357,0.009723259,0.40768242,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,50.533913,4075.3162,42.354515,40.952877,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,864.737536907196,N,N,>50K,<=50K,>50K
