,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5641025641025641,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,62.0,0.0,0.0,1.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.30726337,0.25683922,0.0,0.2580908,Greater than 45,Male,Caucasian,F,0,0,0,41.96654,9.759891,0.0,206.21454,Greater than 45,Male,Caucasian,F,0,0,0,1835.2390224933624,Y,Y,Medium-Low,Medium-Low,High
0,0.12820512820512822,0.02631578947368421,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,M,0,0,0,Medium-Low,28.0,1.0,1.0,1.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.0653682,0.08915273,0.06378301,0.0640885,25 - 45,Male,African-American,M,0,0,0,23.098719,3.3878038,67.41865,51.20671,25 - 45,Male,African-American,M,0,0,0,1835.2390224933624,Y,Y,Medium-Low,Medium-Low,High
0,0.5,0.21052631578947367,0.0,0.0012515644555694619,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,57.0,8.0,0.0,1.0,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,0.4122059,0.29832038,0.077474944,0.08904564,Greater than 45,Male,African-American,M,1,0,1,50.15206,11.336175,81.891014,71.14746,Greater than 45,Male,African-American,M,1,0,1,1835.2390224933624,Y,Y,Medium-Low,Medium-Low,High
0,0.01282051282051283,0.02631578947368421,0.0,0.0012515644555694619,Less than 25,Male,African-American,F,1,0,1,High,19.0,1.0,0.0,1.0,Less than 25,Male,African-American,F,1,0,1,High,0.015148726,0.023987576,0.0009402919,0.0,Less than 25,Male,African-American,F,1,0,1,19.1816,0.9115279,0.99388856,0.0,Less than 25,Male,African-American,F,1,0,1,1835.2390224933624,Y,Y,High,High,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Other,M,0,0,0,Medium-Low,37.0,0.0,1.0,1.0,25 - 45,Female,Other,M,0,0,0,Medium-Low,0.10553554,0.1380542,0.11974915,0.13930577,25 - 45,Female,Other,M,0,0,0,26.231771,5.24606,126.57485,111.30531,25 - 45,Female,Other,M,0,0,0,1835.2390224933624,Y,Y,Medium-Low,Medium-Low,High
0,0.06410256410256412,0.10526315789473684,0.000946073793755913,0.0,Less than 25,Male,African-American,F,1,0,1,High,23.0,4.0,1.0,0.0,Less than 25,Male,African-American,F,1,0,1,High,0.09077531,0.078590415,0.020630408,0.0,Less than 25,Male,African-American,F,1,0,1,25.080473,2.986436,21.806341,0.0,Less than 25,Male,African-American,F,1,0,1,1835.2390224933624,Y,Y,High,High,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.01141538,0.14378029,0.0920948,0.09114873,25 - 45,Male,Caucasian,F,0,0,0,18.8904,5.463651,97.34421,72.827835,25 - 45,Male,Caucasian,F,0,0,0,1835.2390224933624,Y,Y,Medium-Low,Medium-Low,High
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.32339677,0.2798421,0.0,0.25352633,Greater than 45,Male,Caucasian,F,0,0,0,43.22495,10.634,0.0,202.56754,Greater than 45,Male,Caucasian,F,0,0,0,1835.2390224933624,Y,Y,Medium-Low,Medium-Low,High
0,0.4871794871794872,0.0,0.000946073793755913,0.007509386733416772,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,56.0,0.0,1.0,6.0,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,0.2996373,0.18754217,0.0,0.19505155,Greater than 45,Male,African-American,F,0,0,0,41.371708,7.1266026,0.0,155.84619,Greater than 45,Male,African-American,F,0,0,0,1835.2390224933624,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.05263157894736842,0.020813623462630083,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,30.0,2.0,21.999999999999996,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.049815908,0.15666182,0.065451905,0.10403025,25 - 45,Male,Caucasian,F,0,0,0,21.885641,5.9531493,69.18266,83.12017,25 - 45,Male,Caucasian,F,0,0,0,1835.2390224933624,Y,Y,Medium-Low,Medium-Low,High
0,0.21794871794871792,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,35.0,0.0,1.0,1.0,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,0.07214458,0.14580414,0.0,0.1470557,25 - 45,Female,Hispanic,F,0,0,0,23.627277,5.5405574,0.0,117.497505,25 - 45,Female,Hispanic,F,0,0,0,1835.2390224933624,Y,Y,Medium-Low,Medium-Low,High
0,0.29487179487179493,0.05263157894736842,0.039735099337748346,0.0525657071339174,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,41.0,2.0,42.0,42.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.16643049,0.1810729,0.00010346621,0.18100703,25 - 45,Male,Caucasian,F,0,0,0,30.981579,6.88077,0.10936379,144.62462,25 - 45,Male,Caucasian,F,0,0,0,1835.2390224933624,Y,Y,Medium-Low,Medium-Low,High
0,0.20512820512820515,0.42105263157894735,0.000946073793755913,0.0012515644555694619,25 - 45,Male,Caucasian,F,1,0,1,High,34.0,16.0,1.0,1.0,25 - 45,Male,Caucasian,F,1,0,1,High,0.30575758,0.32042325,0.09099875,0.0,25 - 45,Male,Caucasian,F,1,0,1,41.84909,12.176084,96.18568,0.0,25 - 45,Male,Caucasian,F,1,0,1,1835.2390224933624,N,N,Medium-Low,High,Medium-Low
0,0.4358974358974359,0.05263157894736842,0.000946073793755913,0.0012515644555694619,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,52.0,2.0,1.0,1.0,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,0.3209644,0.16756462,0.0,0.1161846,Greater than 45,Female,African-American,F,1,0,1,43.03522,6.3674555,0.0,92.8315,Greater than 45,Female,African-American,F,1,0,1,1835.2390224933624,Y,Y,Medium-Low,Medium-Low,High
