,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5641025641025641,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,62.0,0.0,0.0,1.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.3123147,0.2517879,0.15269572,0.25303945,Greater than 45,Male,Caucasian,F,0,0,0,42.360546,9.56794,161.39937,202.17851,Greater than 45,Male,Caucasian,F,0,0,0,138.17168879508972,Y,Y,Medium-Low,Medium-Low,High
0,0.12820512820512822,0.02631578947368421,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,M,0,0,0,Medium-Low,28.0,1.0,1.0,1.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.028035186,0.12648574,0.101116024,0.10142151,25 - 45,Male,African-American,M,0,0,0,20.186745,4.806458,106.87964,81.03579,25 - 45,Male,African-American,M,0,0,0,138.17168879508972,Y,Y,Medium-Low,Medium-Low,High
0,0.5,0.21052631578947367,0.0,0.0012515644555694619,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,57.0,8.0,0.0,1.0,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,0.41412655,0.29639977,0.07119,0.087125,Greater than 45,Male,African-American,M,1,0,1,50.301872,11.263191,75.24783,69.61288,Greater than 45,Male,African-American,M,1,0,1,138.17168879508972,Y,Y,Medium-Low,Medium-Low,High
0,0.01282051282051283,0.02631578947368421,0.0,0.0012515644555694619,Less than 25,Male,African-American,F,1,0,1,High,19.0,1.0,0.0,1.0,Less than 25,Male,African-American,F,1,0,1,High,0.01452939,0.024606911,5.3597178e-06,0.0,Less than 25,Male,African-American,F,1,0,1,19.133293,0.93506265,0.0056652217,0.0,Less than 25,Male,African-American,F,1,0,1,138.17168879508972,Y,Y,High,High,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Other,M,0,0,0,Medium-Low,37.0,0.0,1.0,1.0,25 - 45,Female,Other,M,0,0,0,Medium-Low,0.034474514,0.20911524,0.15824282,0.2103668,25 - 45,Female,Other,M,0,0,0,20.689013,7.946379,167.26266,168.08307,25 - 45,Female,Other,M,0,0,0,138.17168879508972,Y,Y,Medium-Low,Medium-Low,High
0,0.06410256410256412,0.10526315789473684,0.000946073793755913,0.0,Less than 25,Male,African-American,F,1,0,1,High,23.0,4.0,1.0,0.0,Less than 25,Male,African-American,F,1,0,1,High,0.09026312,0.079102606,0.0032412752,0.0,Less than 25,Male,African-American,F,1,0,1,25.040524,3.005899,3.4260278,0.0,Less than 25,Male,African-American,F,1,0,1,138.17168879508972,Y,Y,High,High,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0023531374,0.15284255,0.10115704,0.100210965,25 - 45,Male,Caucasian,F,0,0,0,18.183544,5.808017,106.92299,80.06856,25 - 45,Male,Caucasian,F,0,0,0,138.17168879508972,Y,Y,Medium-Low,Medium-Low,High
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.3321426,0.2710963,0.24572656,0.24478048,Greater than 45,Male,Caucasian,F,0,0,0,43.90712,10.301659,259.73297,195.5796,Greater than 45,Male,Caucasian,F,0,0,0,138.17168879508972,Y,Y,Medium-Low,Medium-Low,High
0,0.4871794871794872,0.0,0.000946073793755913,0.007509386733416772,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,56.0,0.0,1.0,6.0,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,0.29005486,0.19712463,0.08215521,0.20463401,Greater than 45,Male,African-American,F,0,0,0,40.62428,7.490736,86.83806,163.50258,Greater than 45,Male,African-American,F,0,0,0,138.17168879508972,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.05263157894736842,0.020813623462630083,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,30.0,2.0,21.999999999999996,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.037393525,0.16908422,0.10840944,0.116452634,25 - 45,Male,Caucasian,F,0,0,0,20.916695,6.4252005,114.58878,93.045654,25 - 45,Male,Caucasian,F,0,0,0,138.17168879508972,Y,Y,Medium-Low,Medium-Low,High
