,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.136986301369863,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,27.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,0.14436577,0.1275046,0.012691646,0.3914719,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,27.5387,12750.333,55.28481,39.364246,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,4.5945000648498535,Y,Y,<=50K,<=50K,>50K
0,0.3835616438356165,0.0,0.0,0.39795918367346933,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,45.00000000000001,0.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,0.3912777,0.13332047,0.013270548,0.412515,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,45.56327,13331.913,57.806507,41.42647,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,4.5945000648498535,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.5510204081632653,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,29.0,0.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,0.15560162,0.0,0.0,0.53445405,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,28.35892,0.0,0.0,53.376495,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,4.5945000648498535,Y,N,>50K,>50K,>50K
0,0.1780821917808219,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,30.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,0.18547007,0.12765005,0.012706121,0.4118959,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,30.539316,12764.878,55.347866,41.3658,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,4.5945000648498535,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.022020220202202023,0.0,0.5,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,29.0,2202.0,0.0,50.00000000000001,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,0.17177777,0.14977945,0.01271699,0.5139485,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,29.539776,14977.796,55.395206,51.36695,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,4.5945000648498535,Y,Y,<=50K,<=50K,>50K
0,0.46575342465753417,0.0,0.0,0.4693877551020408,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.99999999999999,0.0,0.0,47.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.45696455,0.0,0.0,0.45280817,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,50.358414,0.0,0.0,45.375202,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,4.5945000648498535,Y,N,>50K,>50K,>50K
0,0.5616438356164384,0.15024150241502415,0.0,0.6020408163265305,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,58.00000000000001,15024.0,0.0,59.99999999999999,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.555694,0.04743611,0.0,0.59081674,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,57.565662,4743.5635,0.0,58.90004,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,4.5945000648498535,Y,N,>50K,>50K,>50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,0.07573027,0.1250452,0.012446839,0.41161153,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,22.528309,12504.395,54.218433,41.33793,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,4.5945000648498535,Y,N,<=50K,<=50K,<=50K
0,0.4520547945205479,0.0,0.0,0.39795918367346933,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,50.0,0.0,0.0,40.0,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,0.45948586,0.12839617,0.012780391,0.41197738,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,50.542465,12839.488,55.671383,41.373783,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,4.5945000648498535,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.03103031030310303,0.0,0.39795918367346933,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,50.0,3103.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,0.45964617,0.1621961,0.013056076,0.41227975,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,50.55417,16219.448,56.87227,41.403416,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,4.5945000648498535,N,N,>50K,<=50K,>50K
