,scaled_input_age,scaled_input_capital-gain,scaled_input_capital-loss,scaled_input_hours-per-week,scaled_input_workclass,scaled_input_education,scaled_input_marital-status,scaled_input_occupation,scaled_input_relationship,scaled_input_race,scaled_input_sex,scaled_input_native-country,scaled_input_class,origin_input_age,origin_input_capital-gain,origin_input_capital-loss,origin_input_hours-per-week,origin_input_workclass,origin_input_education,origin_input_marital-status,origin_input_occupation,origin_input_relationship,origin_input_race,origin_input_sex,origin_input_native-country,origin_input_class,scaled_adv_age,scaled_adv_capital-gain,scaled_adv_capital-loss,scaled_adv_hours-per-week,scaled_adv_workclass,scaled_adv_education,scaled_adv_marital-status,scaled_adv_occupation,scaled_adv_relationship,scaled_adv_race,scaled_adv_sex,scaled_adv_native-country,origin_adv_age,origin_adv_capital-gain,origin_adv_capital-loss,origin_adv_hours-per-week,origin_adv_workclass,origin_adv_education,origin_adv_marital-status,origin_adv_occupation,origin_adv_relationship,origin_adv_race,origin_adv_sex,origin_adv_native-country,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.136986301369863,0.0,0.0,0.37755102040816324,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,27.0,0.0,0.0,38.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K,0.1645545,0.2788869,0.040524513,0.42749292,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,29.01248,27888.412,176.52478,42.894306,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,4.902353048324585,Y,Y,<=50K,<=50K,>50K
0,0.3835616438356165,0.0,0.0,0.39795918367346933,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,45.00000000000001,0.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K,0.41130304,0.2806389,0.040779103,0.4482148,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,47.025124,28063.61,177.63377,44.92505,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,4.902353048324585,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.0,0.0,0.5510204081632653,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,29.0,0.0,0.0,55.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K,0.091274455,0.0,0.0,0.41857773,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,23.663034,0.0,0.0,42.02062,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,4.902353048324585,Y,Y,>50K,>50K,<=50K
0,0.1780821917808219,0.0,0.0,0.39795918367346933,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,30.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K,0.20566018,0.2789858,0.04053889,0.44791877,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,32.01319,27898.3,176.5874,44.896038,Private,Bachelors,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,4.902353048324585,Y,Y,<=50K,<=50K,>50K
0,0.1643835616438356,0.022020220202202023,0.0,0.5,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,29.0,2202.0,0.0,50.00000000000001,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K,0.19198266,0.30121967,0.04056994,0.54999787,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,31.014734,30121.666,176.72266,54.89979,Self-emp-not-inc,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,4.902353048324585,Y,Y,<=50K,<=50K,>50K
0,0.46575342465753417,0.0,0.0,0.4693877551020408,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,50.99999999999999,0.0,0.0,47.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K,0.39299145,0.0,0.0,0.33757395,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,45.688374,0.0,0.0,34.082245,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,4.902353048324585,Y,Y,>50K,>50K,<=50K
0,0.5616438356164384,0.15024150241502415,0.0,0.6020408163265305,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,58.00000000000001,15024.0,0.0,59.99999999999999,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K,0.49511543,0.01755044,0.0,0.48151967,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,53.143425,1755.0265,0.0,48.188927,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,4.902353048324585,Y,Y,>50K,>50K,<=50K
0,0.0684931506849315,0.0,0.0,0.39795918367346933,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,22.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,<=50K,0.09601397,0.27840754,0.040454857,0.4478152,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,24.00902,27840.477,176.22136,44.88589,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Other,Female,United-States,4.902353048324585,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.0,0.0,0.39795918367346933,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,50.0,0.0,0.0,40.0,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K,0.479636,0.27901855,0.040543646,0.44792464,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,52.013428,27901.576,176.60812,44.896614,Private,Assoc-acdm,Divorced,Sales,Not-in-family,White,Female,United-States,4.902353048324585,Y,Y,<=50K,<=50K,>50K
0,0.4520547945205479,0.03103031030310303,0.0,0.39795918367346933,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,50.0,3103.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K,0.4797592,0.31129497,0.040724717,0.44814777,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,52.02242,31129.186,177.39687,44.91848,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,4.902353048324585,N,N,>50K,<=50K,>50K
