,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5641025641025641,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,62.0,0.0,0.0,1.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.44849497,0.20754088,0.0,0.1546698,Greater than 45,Male,Caucasian,F,0,0,0,52.982605,7.886554,0.0,123.58118,Greater than 45,Male,Caucasian,F,0,0,0,5.332327604293823,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.12820512820512822,0.02631578947368421,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,M,0,0,0,Medium-Low,28.0,1.0,1.0,1.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.031054858,0.26132843,0.016394114,0.14592987,25 - 45,Male,African-American,M,0,0,0,20.42228,9.93048,17.328579,116.59797,25 - 45,Male,African-American,M,0,0,0,5.332327604293823,Y,Y,Medium-Low,Medium-Low,High
0,0.5,0.21052631578947367,0.0,0.0012515644555694619,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,57.0,8.0,0.0,1.0,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,0.40452808,0.41176412,0.027805362,0.16027589,Greater than 45,Male,African-American,M,1,0,1,49.55319,15.647037,29.390268,128.06044,Greater than 45,Male,African-American,M,1,0,1,5.332327604293823,Y,Y,Medium-Low,Medium-Low,High
0,0.01282051282051283,0.02631578947368421,0.0,0.0012515644555694619,Less than 25,Male,African-American,F,1,0,1,High,19.0,1.0,0.0,1.0,Less than 25,Male,African-American,F,1,0,1,High,0.27552116,0.003424531,0.0,0.0001628688,Less than 25,Male,African-American,F,1,0,1,39.49065,0.13013218,0.0,0.13013217,Less than 25,Male,African-American,F,1,0,1,5.332327604293823,Y,Y,High,High,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Other,M,0,0,0,Medium-Low,37.0,0.0,1.0,1.0,25 - 45,Female,Other,M,0,0,0,Medium-Low,0.12675779,0.23039678,0.02299956,0.1408776,25 - 45,Female,Other,M,0,0,0,27.887108,8.755077,24.310535,112.5612,25 - 45,Female,Other,M,0,0,0,5.332327604293823,Y,Y,Medium-Low,Medium-Low,High
0,0.06410256410256412,0.10526315789473684,0.000946073793755913,0.0,Less than 25,Male,African-American,F,1,0,1,High,23.0,4.0,1.0,0.0,Less than 25,Male,African-American,F,1,0,1,High,0.31515154,0.014352823,0.00012899887,0.0,Less than 25,Male,African-American,F,1,0,1,42.58182,0.54540724,0.13635181,0.0,Less than 25,Male,African-American,F,1,0,1,5.332327604293823,Y,Y,High,High,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.024118999,0.2934619,0.013018933,0.14396319,25 - 45,Male,Caucasian,F,0,0,0,19.881283,11.151552,13.761012,115.02659,25 - 45,Male,Caucasian,F,0,0,0,5.332327604293823,Y,Y,Medium-Low,Medium-Low,High
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.4652646,0.23205332,0.00023115135,0.15698314,Greater than 45,Male,Caucasian,F,0,0,0,54.290638,8.818027,0.24432698,125.42953,Greater than 45,Male,Caucasian,F,0,0,0,5.332327604293823,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.4871794871794872,0.0,0.000946073793755913,0.007509386733416772,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,56.0,0.0,1.0,6.0,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,0.37033206,0.22523364,0.00023056756,0.14225897,Greater than 45,Male,African-American,F,0,0,0,46.8859,8.558879,0.2437099,113.66492,Greater than 45,Male,African-American,F,0,0,0,5.332327604293823,Y,N,Medium-Low,Medium-Low,Medium-Low
0,0.15384615384615383,0.05263157894736842,0.020813623462630083,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,30.0,2.0,21.999999999999996,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.037511032,0.28250414,0.032249067,0.13806942,25 - 45,Male,Caucasian,F,0,0,0,20.925861,10.735157,34.087265,110.31747,25 - 45,Male,Caucasian,F,0,0,0,5.332327604293823,Y,Y,Medium-Low,Medium-Low,High
0,0.21794871794871792,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,35.0,0.0,1.0,1.0,25 - 45,Female,Hispanic,F,0,0,0,Medium-Low,0.106219344,0.23809016,0.00023510093,0.11298944,25 - 45,Female,Hispanic,F,0,0,0,26.285109,9.047426,0.24850169,90.278564,25 - 45,Female,Hispanic,F,0,0,0,5.332327604293823,Y,Y,Medium-Low,Medium-Low,High
0,0.29487179487179493,0.05263157894736842,0.039735099337748346,0.0525657071339174,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,41.0,2.0,42.0,42.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.16848819,0.2763155,0.05207561,0.19228064,25 - 45,Male,Caucasian,F,0,0,0,31.142078,10.4999895,55.04392,153.63223,25 - 45,Male,Caucasian,F,0,0,0,5.332327604293823,Y,Y,Medium-Low,Medium-Low,High
0,0.20512820512820515,0.42105263157894735,0.000946073793755913,0.0012515644555694619,25 - 45,Male,Caucasian,F,1,0,1,High,34.0,16.0,1.0,1.0,25 - 45,Male,Caucasian,F,1,0,1,High,0.37397403,0.17710868,0.00021395805,0.00028304587,25 - 45,Male,Caucasian,F,1,0,1,47.16997,6.7301297,0.22615366,0.22615364,25 - 45,Male,Caucasian,F,1,0,1,5.332327604293823,N,N,Medium-Low,High,Medium-Low
0,0.4358974358974359,0.05263157894736842,0.000946073793755913,0.0012515644555694619,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,52.0,2.0,1.0,1.0,Greater than 45,Female,African-American,F,1,0,1,Medium-Low,0.31906915,0.29786536,0.0075567868,0.08366463,Greater than 45,Female,African-American,F,1,0,1,42.887394,11.318884,7.9875236,66.848045,Greater than 45,Female,African-American,F,1,0,1,5.332327604293823,Y,Y,Medium-Low,Medium-Low,High
0,0.21794871794871792,0.3157894736842105,0.0510879848628193,0.0012515644555694619,25 - 45,Female,African-American,M,0,0,0,High,35.0,12.0,54.0,1.0,25 - 45,Female,African-American,M,0,0,0,High,0.3759706,0.06616646,0.04196628,0.0002622367,25 - 45,Female,African-American,M,0,0,0,47.325706,2.5143256,44.35836,0.20952712,25 - 45,Female,African-American,M,0,0,0,5.332327604293823,N,N,Medium-Low,High,Medium-Low
0,0.051282051282051294,0.07894736842105263,0.0,0.4042553191489362,Less than 25,Male,African-American,F,0,0,0,High,22.0,3.0,0.0,323.0,Less than 25,Male,African-American,F,0,0,0,High,0.28414705,0.012983296,0.026638256,0.2897866,Less than 25,Male,African-American,F,0,0,0,40.16347,0.49336526,28.156637,231.5395,Less than 25,Male,African-American,F,0,0,0,5.332327604293823,Y,Y,High,High,Medium-Low
0,0.11538461538461539,0.5526315789473684,0.0,0.04380475594493116,25 - 45,Male,African-American,F,1,0,1,High,27.0,21.0,0.0,35.0,25 - 45,Male,African-American,F,1,0,1,High,0.2982035,0.3325729,0.0,0.009994723,25 - 45,Male,African-American,F,1,0,1,41.259872,12.637771,0.0,7.9857836,25 - 45,Male,African-American,F,1,0,1,5.332327604293823,Y,N,High,High,High
0,0.11538461538461539,0.02631578947368421,0.04068117313150426,0.023779724655819776,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,27.0,1.0,43.0,19.0,25 - 45,Male,Caucasian,F,1,1,1,Medium-Low,0.02780585,0.25743252,0.060452014,0.1690465,25 - 45,Male,Caucasian,F,1,1,1,20.168856,9.782435,63.897778,135.06816,25 - 45,Male,Caucasian,F,1,1,1,5.332327604293823,N,N,High,Medium-Low,High
