,scaled_input_age,scaled_input_priors_count,scaled_input_days_b_screening_arrest,scaled_input_length_of_stay,scaled_input_age_cat,scaled_input_sex,scaled_input_race,scaled_input_c_charge_degree,scaled_input_is_recid,scaled_input_is_violent_recid,scaled_input_two_year_recid,scaled_input_class,origin_input_age,origin_input_priors_count,origin_input_days_b_screening_arrest,origin_input_length_of_stay,origin_input_age_cat,origin_input_sex,origin_input_race,origin_input_c_charge_degree,origin_input_is_recid,origin_input_is_violent_recid,origin_input_two_year_recid,origin_input_class,scaled_adv_age,scaled_adv_priors_count,scaled_adv_days_b_screening_arrest,scaled_adv_length_of_stay,scaled_adv_age_cat,scaled_adv_sex,scaled_adv_race,scaled_adv_c_charge_degree,scaled_adv_is_recid,scaled_adv_is_violent_recid,scaled_adv_two_year_recid,origin_adv_age,origin_adv_priors_count,origin_adv_days_b_screening_arrest,origin_adv_length_of_stay,origin_adv_age_cat,origin_adv_sex,origin_adv_race,origin_adv_c_charge_degree,origin_adv_is_recid,origin_adv_is_violent_recid,origin_adv_two_year_recid,running_time,Predict_Success,Attack_Success?,ground_truth,prediction,adv_prediction
0,0.5641025641025641,0.0,0.0,0.0012515644555694619,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,62.0,0.0,0.0,1.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.26410258,0.3,0.0,0.30125156,Greater than 45,Male,Caucasian,F,0,0,0,38.6,11.400001,0.0,240.7,Greater than 45,Male,Caucasian,F,0,0,0,5.20945405960083,Y,Y,Medium-Low,Medium-Low,High
0,0.12820512820512822,0.02631578947368421,0.000946073793755913,0.0012515644555694619,25 - 45,Male,African-American,M,0,0,0,Medium-Low,28.0,1.0,1.0,1.0,25 - 45,Male,African-American,M,0,0,0,Medium-Low,0.0,0.3263158,0.3009461,0.30125156,25 - 45,Male,African-American,M,0,0,0,18.0,12.4,318.1,240.7,25 - 45,Male,African-American,M,0,0,0,5.20945405960083,Y,Y,Medium-Low,Medium-Low,High
0,0.5,0.21052631578947367,0.0,0.0012515644555694619,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,57.0,8.0,0.0,1.0,Greater than 45,Male,African-American,M,1,0,1,Medium-Low,0.2,0.5105263,0.3,0.30125156,Greater than 45,Male,African-American,M,1,0,1,33.6,19.4,317.1,240.7,Greater than 45,Male,African-American,M,1,0,1,5.20945405960083,Y,Y,Medium-Low,Medium-Low,High
0,0.01282051282051283,0.02631578947368421,0.0,0.0012515644555694619,Less than 25,Male,African-American,F,1,0,1,High,19.0,1.0,0.0,1.0,Less than 25,Male,African-American,F,1,0,1,High,0.31282052,0.0,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,42.4,0.0,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,5.20945405960083,Y,Y,High,High,Medium-Low
0,0.24358974358974358,0.0,0.000946073793755913,0.0012515644555694619,25 - 45,Female,Other,M,0,0,0,Medium-Low,37.0,0.0,1.0,1.0,25 - 45,Female,Other,M,0,0,0,Medium-Low,0.0,0.3,0.3009461,0.30125156,25 - 45,Female,Other,M,0,0,0,18.0,11.400001,318.1,240.7,25 - 45,Female,Other,M,0,0,0,5.20945405960083,Y,Y,Medium-Low,Medium-Low,High
0,0.06410256410256412,0.10526315789473684,0.000946073793755913,0.0,Less than 25,Male,African-American,F,1,0,1,High,23.0,4.0,1.0,0.0,Less than 25,Male,African-American,F,1,0,1,High,0.36410257,0.0,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,46.4,0.0,0.0,0.0,Less than 25,Male,African-American,F,1,0,1,5.20945405960083,Y,Y,High,High,Medium-Low
0,0.10256410256410256,0.05263157894736842,0.000946073793755913,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,26.0,2.0,1.0,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,0.35263157,0.3009461,0.3,25 - 45,Male,Caucasian,F,0,0,0,18.0,13.4,318.1,239.70001,25 - 45,Male,Caucasian,F,0,0,0,5.20945405960083,Y,Y,Medium-Low,Medium-Low,High
0,0.576923076923077,0.02631578947368421,0.000946073793755913,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,63.0,1.0,1.0,0.0,Greater than 45,Male,Caucasian,F,0,0,0,Medium-Low,0.2769231,0.3263158,0.0,0.3,Greater than 45,Male,Caucasian,F,0,0,0,39.600002,12.4,0.0,239.70001,Greater than 45,Male,Caucasian,F,0,0,0,5.20945405960083,Y,Y,Medium-Low,Medium-Low,High
0,0.4871794871794872,0.0,0.000946073793755913,0.007509386733416772,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,56.0,0.0,1.0,6.0,Greater than 45,Male,African-American,F,0,0,0,Medium-Low,0.18717949,0.3,0.0,0.3075094,Greater than 45,Male,African-American,F,0,0,0,32.6,11.400001,0.0,245.70001,Greater than 45,Male,African-American,F,0,0,0,5.20945405960083,Y,Y,Medium-Low,Medium-Low,High
0,0.15384615384615383,0.05263157894736842,0.020813623462630083,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,30.0,2.0,21.999999999999996,0.0,25 - 45,Male,Caucasian,F,0,0,0,Medium-Low,0.0,0.35263157,0.0,0.3,25 - 45,Male,Caucasian,F,0,0,0,18.0,13.4,0.0,239.70001,25 - 45,Male,Caucasian,F,0,0,0,5.20945405960083,Y,Y,Medium-Low,Medium-Low,High
