Dataset Name,Model Name,Accuracy,Precision,Recall,F1 Score
adult,dt,0.8238906801781053,0.6374837872892347,0.6257161043921069,0.6315451333119176
adult,rfc,0.8472286196837095,0.7111436950146628,0.6174411203055379,0.6609880749574106
adult,svc,0.8535237217871948,0.7473937449879712,0.593252705283259,0.6614620298083748
adult,lr,0.8526024873330262,0.7381137957911146,0.602800763844685,0.6636299929922915
adult,gbc,0.8679563949025026,0.8077922077922078,0.5938892425206874,0.6845194424064562
adult,nn,0.8527560264087211,0.7145862552594671,0.648631444939529,0.6800133466800133
adult,nn_2,0.8522954091816367,0.7449718423169751,0.5894334818586887,0.658137882018479
german,dt,0.69,0.47368421052631576,0.4576271186440678,0.4655172413793103
german,rfc,0.77,0.7096774193548387,0.3728813559322034,0.4888888888888889
german,svc,0.805,0.7083333333333334,0.576271186440678,0.6355140186915889
german,lr,0.805,0.7083333333333334,0.576271186440678,0.6355140186915889
german,gbc,0.79,0.7073170731707317,0.4915254237288136,0.58
german,nn,0.77,0.6382978723404256,0.5084745762711864,0.5660377358490567
german,nn_2,0.79,0.6666666666666666,0.576271186440678,0.6181818181818182
compas,dt,0.7186417186417187,0.8085106382978723,0.8007662835249042,0.8046198267564966
compas,rfc,0.7837837837837838,0.8285457809694794,0.8840996168582376,0.855421686746988
compas,svc,0.7997227997227997,0.8148457047539617,0.935823754789272,0.8711547035220687
compas,lr,0.7955647955647955,0.8165680473372781,0.9252873563218391,0.8675348001796138
compas,gbc,0.8163548163548163,0.838401390095569,0.9243295019157088,0.8792710706150341
compas,nn,0.8031878031878031,0.8214890016920474,0.9300766283524904,0.8724168912848158
compas,nn_2,0.8108108108108109,0.8275276125743416,0.9329501915708812,0.8770823953174247
diabetes,dt,0.7467532467532467,0.625,0.7272727272727273,0.6722689075630253
diabetes,rfc,0.7207792207792207,0.6071428571428571,0.6181818181818182,0.6126126126126126
diabetes,svc,0.7662337662337663,0.6727272727272727,0.6727272727272727,0.6727272727272727
diabetes,lr,0.7662337662337663,0.7111111111111111,0.5818181818181818,0.64
diabetes,gbc,0.7402597402597403,0.6271186440677966,0.6727272727272727,0.6491228070175439
diabetes,nn,0.7077922077922078,0.578125,0.6727272727272727,0.6218487394957982
diabetes,nn_2,0.7532467532467533,0.6666666666666666,0.6181818181818182,0.6415094339622642
breast_cancer,dt,0.9473684210526315,0.9302325581395349,0.9302325581395349,0.9302325581395349
breast_cancer,rfc,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809524
breast_cancer,svc,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412
breast_cancer,lr,0.9824561403508771,1.0,0.9534883720930233,0.9761904761904763
breast_cancer,gbc,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882352
breast_cancer,nn,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882352
breast_cancer,nn_2,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104
