Dataset,Model,Attack methods,Success_rate
Adult,LR,DeepFool,0.826887
Adult,LR,C&W L2,0.698638614
Adult,LR,C&W Linf,0.155476485
Adult,LR,FGSM L1,0.211943069
Adult,LR,FGSM L2,0.676825495
Adult,LR,FGSM Linf,0.84947401
Adult,LR,BIM,0.84947401
Adult,LR,MIM,0.84947401
Adult,LR,PGD L1,0.293162129
Adult,LR,PGD L2,0.741027228
Adult,LR,PGD Linf,0.84947401
German,LR,DeepFool,0.8125
German,LR,C&W L2,0.723958333
German,LR,C&W Linf,0.197916667
German,LR,FGSM L1,0.197916667
German,LR,FGSM L2,0.291666667
German,LR,FGSM Linf,0.807291667
German,LR,BIM,0.807291667
German,LR,MIM,0.807291667
German,LR,PGD L1,0.192708333
German,LR,PGD L2,0.359375
German,LR,PGD Linf,0.807291667
COMPAS,LR,DeepFool,0.793323864
COMPAS,LR,C&W L2,0.694602273
COMPAS,LR,C&W Linf,0.208096591
COMPAS,LR,FGSM L1,0.299715909
COMPAS,LR,FGSM L2,0.592329545
COMPAS,LR,FGSM Linf,0.792613636
COMPAS,LR,BIM,0.792613636
COMPAS,LR,MIM,0.792613636
COMPAS,LR,PGD L1,0.342329545
COMPAS,LR,PGD L2,0.595880682
COMPAS,LR,PGD Linf,0.792613636
Diabetes,LR,DeepFool,0.78125
Diabetes,LR,C&W L2,0.75
Diabetes,LR,C&W Linf,0.3125
Diabetes,LR,LowProFool L2,0.7578125
Diabetes,LR,LowProFool Linf,0.7578125
Diabetes,LR,FGSM L1,0.375
Diabetes,LR,FGSM L2,0.59375
Diabetes,LR,FGSM Linf,0.75
Diabetes,LR,BIM,0.75
Diabetes,LR,MIM,0.75
Diabetes,LR,PGD L1,0.3671875
Diabetes,LR,PGD L2,0.59375
Diabetes,LR,PGD Linf,0.75
Breast Cancer,LR,DeepFool,0.984375
Breast Cancer,LR,C&W L2,0.90625
Breast Cancer,LR,C&W Linf,0.109375
Breast Cancer,LR,LowProFool L2,0.984375
Breast Cancer,LR,LowProFool Linf,0.984375
Breast Cancer,LR,FGSM L1,0.046875
Breast Cancer,LR,FGSM L2,0.234375
Breast Cancer,LR,FGSM Linf,0.96875
Breast Cancer,LR,BIM,0.96875
Breast Cancer,LR,MIM,0.96875
Breast Cancer,LR,PGD L1,0.046875
Breast Cancer,LR,PGD L2,0.234375
Breast Cancer,LR,PGD Linf,0.96875
Adult,MLP,DeepFool,0.845142327
Adult,MLP,C&W L2,0.451887376
Adult,MLP,C&W Linf,0.155631188
Adult,MLP,FGSM L1,0.249690594
Adult,MLP,FGSM L2,0.739170792
Adult,MLP,FGSM Linf,0.846534653
Adult,MLP,BIM,0.839418317
Adult,MLP,MIM,0.851485149
Adult,MLP,PGD L1,0.512376238
Adult,MLP,PGD L2,0.828125
Adult,MLP,PGD Linf,0.851485149
German,MLP,DeepFool,0.807291667
German,MLP,C&W L2,0.619791667
German,MLP,C&W Linf,0.208333333
German,MLP,FGSM L1,0.213541667
German,MLP,FGSM L2,0.3125
German,MLP,FGSM Linf,0.765625
German,MLP,BIM,0.791666667
German,MLP,MIM,0.786458333
German,MLP,PGD L1,0.21875
German,MLP,PGD L2,0.390625
German,MLP,PGD Linf,0.786458333
COMPAS,MLP,DeepFool,0.8046875
COMPAS,MLP,C&W L2,0.720880682
COMPAS,MLP,C&W Linf,0.215909091
COMPAS,MLP,FGSM L1,0.319602273
COMPAS,MLP,FGSM L2,0.645596591
COMPAS,MLP,FGSM Linf,0.808238636
COMPAS,MLP,BIM,0.808948864
COMPAS,MLP,MIM,0.808948864
COMPAS,MLP,PGD L1,0.379971591
COMPAS,MLP,PGD L2,0.664772727
COMPAS,MLP,PGD Linf,0.808948864
Diabetes,MLP,DeepFool,0.7265625
Diabetes,MLP,C&W L2,0.71875
Diabetes,MLP,C&W Linf,0.2734375
Diabetes,MLP,LowProFool L2,0.7265625
Diabetes,MLP,LowProFool Linf,0.7265625
Diabetes,MLP,FGSM L1,0.3125
Diabetes,MLP,FGSM L2,0.578125
Diabetes,MLP,FGSM Linf,0.7265625
Diabetes,MLP,BIM,0.7265625
Diabetes,MLP,MIM,0.7265625
Diabetes,MLP,PGD L1,0.3125
Diabetes,MLP,PGD L2,0.5859375
Diabetes,MLP,PGD Linf,0.7265625
Breast Cancer,MLP,DeepFool,0.96875
Breast Cancer,MLP,C&W L2,0.828125
Breast Cancer,MLP,C&W Linf,0.203125
Breast Cancer,MLP,LowProFool L2,0.96875
Breast Cancer,MLP,LowProFool Linf,0.96875
Breast Cancer,MLP,FGSM L1,0.09375
Breast Cancer,MLP,FGSM L2,0.65625
Breast Cancer,MLP,FGSM Linf,0.96875
Breast Cancer,MLP,BIM,0.96875
Breast Cancer,MLP,MIM,0.984375
Breast Cancer,MLP,PGD L1,0.09375
Breast Cancer,MLP,PGD L2,0.28125
Breast Cancer,MLP,PGD Linf,0.96875
Adult,SVC,DeepFool,0.853186881
Adult,SVC,C&W L2,0.147586634
Adult,SVC,C&W Linf,0.154393564
Adult,SVC,FGSM L1,0.31404703
Adult,SVC,FGSM L2,0.808787129
Adult,SVC,FGSM Linf,0.847462871
Adult,SVC,BIM,0.847462871
Adult,SVC,MIM,0.847462871
Adult,SVC,PGD L1,0.533570545
Adult,SVC,PGD L2,0.844523515
Adult,SVC,PGD Linf,0.847462871
German,SVC,DeepFool,0.8125
German,SVC,C&W L2,0.182291667
German,SVC,C&W Linf,0.192708333
German,SVC,FGSM L1,0.1875
German,SVC,FGSM L2,0.333333333
German,SVC,FGSM Linf,0.807291667
German,SVC,BIM,0.807291667
German,SVC,MIM,0.807291667
German,SVC,PGD L1,0.192708333
German,SVC,PGD L2,0.395833333
German,SVC,PGD Linf,0.807291667
